!	_!
"	_"
'antonino	_'antonino
'antonio	_'antonio
'anxtot	_'anxtot
'apcher	_'apcher
'apollinare	_'apollinare
'appenai	_'appenai
'aquila	_'aquila
'aquileia	_'aquileia
'aquino	_'aquino
'ara	_'ar +a
'aran	_'ar +an
'arazzo	_'arazzo
'arberoue	_'arberoue
'arbia	_'arbia
'arca	_'arc +a
'arcangelo	_'arc _angel +o
'arcano	_'arc +ano
'arce	_'arce
'arcenay	_'arcenay
'arcey	_'arc +ey
'archambault	_'archambault
'arche	_'arche
'archevêque	_'archevêque
'arcidano	_'arcidano
'arco	_'arc +o
'arconce	_'arc _once
'arcy	_'arcy
'arda	_'arda
'ardenghi	_'ardenghi
'ardoise	_'ardoise
'arentèle	_'arentèle
'arese	_'arese
'argentière	_'argentière
'argile	_'argile
'argillé	_'argillé
'argine	_'argine
'argon	_'argon
'argonne	_'argonne
'ari	_'ar +i
'ario	_'ar +i +o
'arlanc	_'arlanc
'armagnac	_'armagnac
'armens	_'armens
'armentera	_'armentera
'armentières	_'armentières
'armor	_'armor
'arnac	_'arnac
'arnet	_'arnet
'arno	_'arno
'aro	_'ar +o
'arpaon	_'arpaon
'arpino	_'arpino
'arquato	_'arquato
'arquenay	_'arquenay
'arrivée	_'arrivée
'arroscia	_'arroscia
'arrossa	_'arrossa
'arsenio	_'arsenio
'artenset	_'artenset
'arthenay	_'arthenay
'arthez	_'arthez
'arthéglise	_'arthéglise
'artico	_'artico
'artige	_'artige
'arz	_'arz
'arzacq	_'arzacq
'arçon	_'arçon
'as	_'as
'ascq	_'ascq
'ashi	_'ashi
'asio	_'asio
'asnar	_'asnar
'aspromonte	_'aspromonte
'asso	_'ass +o
'asson	_'asson
'assoucy	_'assoucy
'asti	_'asti
'astico	_'astico
'astier	_'asti +er
'at	_'at
'ataux	_'ataux
'attez	_'attez
'atzúbia	_'atzúbia
'auber	_'auber
'auberoche	_'auberoche
'aubigny	_'aubigny
'aubigné	_'aubigné
'aubrac	_'aubrac
'aubrigoux	_'aubrigoux
'auche	_'auche
'aude	_'aude
'audouville	_'audouville
'auge	_'auge
'augerons	_'augerons
'augy	_'augy
'aullène	_'aullène
'aumône	_'aumône
'aunay	_'aunay
'aurac	_'aurac
'auray	_'auray
'aurec	_'aurec
'auribat	_'auribat
'aurillac	_'aurillac
'auroure	_'auroure
'autel	_'autel
'autils	_'autils
'auvergne	_'auvergne
'auvray	_'auvray
'auxy	_'auxy
'aval	_'aval
'avall	_'avall
'avenel	_'avenel
'aversa	_'aversa
'aveto	_'aveto
'aviation	_'aviation
'avray	_'avray
'awwudh	_'awwudh
'azur	_'azur
'azy	_'azy
'azzano	_'azzano
'azzara	_'azzara
'b	_'b
'ba	_'ba
'ban	_'ban
'baye	_'baye
'brien	_'brien
'd	_'d
'desyat	_'desyat
'dino	_'dino
'djamena	_'djamena
'dy	_'dy
'eau	_'eau
'ebo	_'ebo
'ebre	_'ebre
'ectot	_'ectot
'egidio	_'egidio
'el-rei	_'el _- _rei
'elba	_'elba
'elena	_'elena
'elia	_'el +ia
'elle	_'elle
'elpidio	_'elpidio
'elsa	_'elsa
'embernard	_'embernard
'emilia	_'emilia
'empordà	_'empordà
'empúries	_'empúries
'en	_'en
'enfantier	_'enfantier
'engras	_'engras
'ennebourg	_'ennebourg
'entraigues	_'entraigues
'entremont	_'entremont
'enza	_'enza
'epiro	_'epiro
'erba	_'erba
'erjing	_'erjing
'esca	_'esca
'escala	_'escala
'escalette	_'escalette
'escaut	_'escaut
'esi	_'esi
'esneval	_'esneval
'estaing	_'estaing
'estany	_'estany
'este	_'este
'esteuil	_'esteuil
'estissac	_'estissac
'estrac	_'estrac
'estréchure	_'estréchure
'estrée	_'estrée
'estrées	_'estrée +s
'ete	_'ete
'eufemia	_'eufemia
'eure	_'eure
'euro	_'euro
'eusanio	_'eusanio
'euzet	_'euzet
'evandro	_'evandro
'evergreen	_'evergreen
'excideuil	_'excideuil
'eymet	_'eymet
'eyrans	_'eyrans
'eyraud	_'eyraud
'ezzelino	_'ezzelino
'fallon	_'fallon
'far	_'far
'golo	_'golo
'h	_'h
'habit	_'habit
'halescourt	_'halescourt
'hara	_'hara
'hardinghem	_'hardinghem
'hare	_'hare
'haÿ-les-roses	_'haÿ _- _les _- _rose +s
'hem	_'hem
'herm	_'herm
'hermitage	_'hermitage
'hermitage-lorge	_'hermitage _- _lorge
'hermite	_'hermite
'hermitière	_'hermitière
'hers	_'hers
'hervon	_'hervon
'hervé	_'hervé
'heuille	_'heuille
'holbach	_'holbach
'homer	_'homer
'honneur	_'honneur
'honoré	_'honoré
'hortier	_'hortier
'hosmes	_'hosmes
'hospitalet	_'hospitalet
'hostoles	_'hostoles
'huis	_'huis
'huison-longueville	_'huison _- _longue +ville
'hébertot	_'hébertot
'héras	_'héras
'hérault	_'hérault
'hôme-chamondot	_'hôme _- _chamondot
'hôpital	_'hôpital
'hôpital-d	_'hôpital _- _d
'hôpital-le-mercier	_'hôpital _- _le _- _mercier
'hôpital-saint-blaise	_'hôpital _- _saint _- _blaise
'hôtel	_'hôtel
'hôtellerie	_'hôtellerie
'i	_'i
'iberville	_'iberville
'ichirō	_'ichirō
'id	_'id
'ida	_'id +a
'if	_'if
'ignon	_'ignon
'il	_'il
'ilario	_'ilario
'ilism	_'il +ism
'illac	_'illac
'ille-et-vilaine	_'ille _- _et _- _vil +a +ine
'im	_'im
'imagna	_'imagna
'in	_'in
'inich	_'inich
'intelvi	_'intelvi
'ionio	_'ionio
'ippolito	_'ippolito
'ippona	_'ippona
'irot	_'irot
'irube	_'irube
'is	_'is
'isauro	_'isauro
'ischia	_'ischia
'iseo	_'iseo
'isernia	_'isernia
'isle	_'isle
'isle-adam	_'isle _- _adam
'isle-sur-serein	_'isle _- _sur _- _sere +in
'isola	_'isola
'isonzo	_'isonzo
'issac	_'issac
'issigeac	_'issigeac
'italia	_'italia
'ivoire	_'ivoire
'ivrea	_'ivrea
'izé	_'izé
'jaz	_'jaz
'jie	_'jie
'ka	_'ka
'keefe	_'keefe
'kmaq	_'kmaq
'kopa	_'kopa
'l	_'l
'l-bahá	_'l _- _bahá
'l-barakāt	_'l _- _barakāt
'l-fadl	_'l _- _fadl
'l-fida	_'l _- _fida
'l-khayr	_'l _- _khayr
'lo	_'lo
'm	_'m
'man	_'man
'minoon	_'minoon
'mun	_'mun
'neil	_'neil
'neill	_'neill
'ng	_'ng
'o	_'o
'oeste	_'oeste
'oglio	_'oglio
'ogna	_'ogna
'ognon	_'ognon
'ohsson	_'ohsson
'oise	_'oise
'oiseau	_'oiseau
'oisel	_'oisel
'olargues	_'olargues
'olcese	_'olcese
'oletta	_'oletta
'olio	_'olio
'ollières	_'ollières
'olm	_'olm
'olmi	_'olm +i
'oloron	_'oloron
'olérargues	_'olérargues
'omobono	_'omobono
'oney	_'oney
'ongina	_'ongina
'onofrio	_'onofrio
'ontepa	_'ontepa
'onyar	_'onyar
'opaglio	_'opaglio
'or	_'or
'orb	_'orb
'orba	_'orb +a
'orcher	_'orcher
'orchu	_'orchu
'orcia	_'orcia
'orcino	_'orcino
'orcières	_'orcières
'ordon	_'ordon
'oreste	_'oreste
'orezza	_'orezza
'orgueilleuse	_'orgueilleuse
'orgueilleux	_'orgueilleux
'orion	_'orion
'orlando	_'orlando
'ormont	_'ormont
'ornain	_'ornain
'orne	_'orne
'ornon	_'ornon
'oro	_'or +o
'orques	_'orques
'orsola	_'orsola
'orthe	_'orthe
'ortigier	_'ortigier
'orvieto	_'orvieto
'orxa	_'orxa
'ossola	_'ossola
'otranto	_'otranto
'oudon	_'oudon
'ouilly	_'ouilly
'oulx	_'oulx
'ourville	_'ourville
'outremer	_'outremer
'ozilhan	_'ozilhan
'phags-pa	_'phags _- _pa
'raf	_'raf
'rani	_'rani
're	_'re
'rg	_'rg
's	_'s
's-length	_'s _- _length
'sha	_'sha
'skoe	_'skoe
'ssupreme	_'ssupreme
't	_'t
'ta-buret	_'ta _- _buret
'tah	_'tah
'tazilites	_'tazilites
'tesami	_'tesami
'u'lláh	_'u'lláh
'umberto	_'umberto
'umbria	_'umbria
'un	_'un
'urbano	_'urbano
'urfé	_'urfé
'urgell	_'urgell
've	_'ve
'yezd	_'yezd
'ymonville	_'ymonville
'zi-comoé	_'zi _- _comoé
'àlguema	_'àlguema
'água	_'água
'ávila	_'ávila
'école	_'école
'écrosville	_'écrosville
'écublei	_'écublei
'égletons	_'égletons
'église	_'église
'église-aux-bois	_'église _- _aux _- _boi +s
'égrenne	_'égrenne
'émalleville	_'émalleville
'épinay	_'épinay
'épinay-le-comte	_'épinay _- _le _- _comte
'épine	_'épine
'équipe	_'équipe
'équiqueville	_'équiqueville
'étables	_'étables
'étalon	_'étalon
'étang	_'étang
'étang-bertrand	_'étang _- _bertrand
'étang-la-ville	_'étang _- _la _- _ville
'étang-vergy	_'étang _- _vergy
'étape	_'étape
'état	_'état
'ételan	_'ételan
'étoile	_'étoile
'étrange	_'étrange
'étroit	_'étroit
'éventé	_'éventé
'évêque	_'évêque
'í	_'í
'île-du-carnay	_'île _- _du _- _carnay
'île-rousse	_'île _- _rousse
'île-saint-denis	_'île _- _saint _- _den +i +s
'īd	_'īd
(	_(
)	_)
*	_*
+	_+
,	_,
-	_-
-1	_-1
-2	_-2
-63	_-63
-bad	_-bad
-is	_-is
-logy	_-logy
-make	_-make
-of-gdp	_- _of _- _gdp
-russia	_-russia
.	_.
...	_...
....	_....
.ac	_.ac
.kz	_.kz
.nr	_.nr
.ru	_.ru
.қаз	_.қаз
0	_0
0-5	_0 _- _5
0.04	_0.04
0.1	_0.1
0.6	_0.6
00	_00
001	_001
04	_04
06	_06
07	_07
08	_08
09	_09
0s	_0s
1	_1
1,000	_1,000
1,000,000	_1,000,000
1,000,000,000	_1,000,000,000
1,000-rupee	_1,000 _- _rupee
1,000-year	_1,000 _- _year
1,2-dichloroethane	_1,2 _- _dich _lor +o _ethane
1,267	_1,267
1,300	_1,300
1,324	_1,324
1,500	_1,500
1,600	_1,600
1,875	_1,875
1-2	_1 _- _2
1.04	_1.04
1.1	_1.1
1.2	_1.2
1.3	_1.3
1.32	_1.32
1.5	_1.5
1.5-2	_1.5 _- _2
1.6	_1.6
1.60	_1.60
1.7	_1.7
1.9	_1.9
10	_10
10,000	_10,000
10-11	_10 _- _11
10-15	_10 _- _15
10-45	_10 _- _45
10.1	⧺1 _0.1
10.5	_10.5
100	_100
100,000	_100,000
1000	_1000
1000s	_1000 +s
1001	⧺1 _001
1002	_1002
1003	_1003
1004	_1004
1005	_1005
1006	_1006
1007	_1007
1008	_1008
1009	_1009
100s	_100 +s
100th	_100th
101	_101
1010	_1010
1010s	_1010 +s
1011	_1011
1012	_1012
1013	_1013
1014	_1014
1015	_1015
1016	_1016
1017	_1017
1018	_1018
1019	_1019
102	_102
1020	_1020
1020s	_1020 +s
1021	_1021
1022	_1022
1023	_1023
1024	_1024
1025	_1025
1026	_1026
1027	_1027
1028	_1028
1029	_1029
103	_103
1030	_1030
1030s	_1030 +s
1031	_1031
1032	_1032
1033	_1033
1034	_1034
1035	_1035
1036	_1036
1037	_1037
1038	_1038
1039	_1039
104	_104
1040	_1040
1040s	_1040 +s
1041	_1041
1042	_1042
1043	_1043
1044	_1044
1045	_1045
1046	_1046
1047	_1047
1048	_1048
1049	_1049
105	_105
1050	_1050
1050s	_1050 +s
1051	_1051
1052	_1052
1053	_1053
1054	_1054
1055	_1055
1056	_1056
1057	_1057
1058	_1058
1059	_1059
106	_106
1060	_1060
1060s	_1060 +s
1061	_1061
1062	_1062
1063	_1063
1064	_1064
1065	_1065
1066	_1066
1067	_1067
1068	_1068
1069	_1069
107	_107
1070	_1070
1070s	_1070 +s
1071	_1071
1072	_1072
1073	_1073
1074	_1074
1075	_1075
1076	_1076
1077	_1077
1078	_1078
1079	_1079
10797	_10797
108	_108
1080	_1080
1080s	_1080 +s
1081	_1081
1082	_1082
1083	_1083
1084	_1084
1085	_1085
1086	_1086
1087	_1087
1088	_1088
1089	_1089
109	_109
1090	_1090
1090s	_1090 +s
1091	_1091
1092	_1092
1093	_1093
1094	_1094
1095	_1095
1096	_1096
1097	_1097
1098	_1098
1099	_1099
10s	_10s
10th	_10th
10th-century	_10th _- _century
11	_11
11.22.63	_11.22.63
11.3	⧺1 _1.3
110	_110
1100	⧺1 _100
1100s	⧺1 _100 +s
1101	⧺1 _101
1102	⧺1 _102
1103	⧺1 _103
1104	⧺1 _104
1105	⧺1 _105
1106	⧺1 _106
1107	⧺1 _107
1108	⧺1 _108
1109	⧺1 _109
110s	_110 +s
111	_111
1110	⧺1 _110
1110s	⧺1 _110 +s
1111	⧺1 _111
1112	⧺1 _112
1113	⧺1 _113
1114	⧺1 _114
1115	⧺1 _115
1116	⧺1 _116
1117	⧺1 _117
1118	⧺1 _118
1119	⧺1 _119
112	_112
1120	⧺1 _120
1120s	⧺1 _120 +s
1121	⧺1 _121
1122	⧺1 _122
1123	⧺1 _123
1124	⧺1 _124
1125	⧺1 _125
1126	⧺1 _126
1127	⧺1 _127
1128	⧺1 _128
1129	⧺1 _129
113	_113
1130	⧺1 _130
1130s	⧺1 _130 +s
1131	⧺1 _131
1132	⧺1 _132
1133	⧺1 _133
1134	⧺1 _134
1135	⧺1 _135
1136	⧺1 _136
1137	⧺1 _137
1138	⧺1 _138
1139	⧺1 _139
114	_114
1140	⧺1 _140
1140s	⧺1 _140 +s
1141	⧺1 _141
1142	⧺1 _142
1143	⧺1 _143
1144	⧺1 _144
1145	⧺1 _145
1146	⧺1 _146
1147	⧺1 _147
1148	⧺1 _148
1149	⧺1 _149
115	_115
1150	⧺1 _150
1150s	⧺1 _150 +s
1151	⧺1 _151
1152	⧺1 _152
1153	⧺1 _153
1154	⧺1 _154
1155	⧺1 _155
1156	⧺1 _156
1157	⧺1 _157
1158	⧺1 _158
1159	⧺1 _159
116	_116
1160	⧺1 _160
1160s	⧺1 _160 +s
1161	⧺1 _161
1162	⧺1 _162
1163	⧺1 _163
1164	⧺1 _164
1165	⧺1 _165
1166	⧺1 _166
1167	⧺1 _167
1168	⧺1 _168
1169	⧺1 _169
117	_117
1170	⧺1 _170
1170s	⧺1 _170 +s
1171	⧺1 _171
1172	⧺1 _172
1173	⧺1 _173
1174	⧺1 _174
1175	⧺1 _175
1176	⧺1 _176
1177	⧺1 _177
1178	⧺1 _178
1179	⧺1 _179
118	_118
118.5	_118.5
1180	⧺1 _180
1180s	⧺1 _180 +s
1181	⧺1 _181
1182	⧺1 _182
1183	⧺1 _183
1184	⧺1 _184
1185	⧺1 _185
1186	⧺1 _186
1187	⧺1 _187
1188	⧺1 _188
1189	⧺1 _189
119	_119
1190	⧺1 _190
1190s	⧺1 _190 +s
1191	⧺1 _191
1192	⧺1 _192
1193	⧺1 _193
1194	⧺1 _194
1195	⧺1 _195
1196	⧺1 _196
1197	⧺1 _197
1198	⧺1 _198
1199	⧺1 _199
11th	_11th
11th-century	_11th _- _century
12	_12
12,475	_12,475
12-14	_12 _- _14
12-18	_12 _- _18
12-country	_12 _- _count +ry
12.1	⧺1 _2.1
120	_120
120,000	⧺1 _20,000
1200	⧺1 _200
1200s	⧺1 _200 +s
1201	⧺1 _201
1202	⧺1 _202
1203	⧺1 _203
1204	⧺1 _204
1205	⧺1 _205
1206	⧺1 _206
1207	⧺1 _207
1208	⧺1 _208
1209	⧺1 _209
120s	_120 +s
121	_121
1210	⧺1 _210
1210s	⧺1 _210 +s
1211	⧺1 _211
1212	⧺1 _212
1213	⧺1 _213
1214	⧺1 _214
1215	⧺1 _215
1216	⧺1 _216
1217	⧺1 _217
1218	⧺1 _218
1219	⧺1 _219
122	_122
1220	⧺1 _220
1220s	⧺1 _220 +s
1221	⧺1 _221
1222	⧺1 _222
1223	⧺1 _223
1224	⧺1 _224
1225	⧺1 _225
1226	⧺1 _226
1227	⧺1 _227
1228	⧺1 _228
1229	⧺1 _229
123	_123
1230	⧺1 _230
1230s	⧺1 _230 +s
1231	⧺1 _231
1232	⧺1 _232
1233	⧺1 _233
1234	⧺1 _234
1235	⧺1 _235
1236	⧺1 _236
1237	⧺1 _237
1238	⧺1 _238
1239	⧺1 _239
124	_124
1240	⧺1 _240
1240s	⧺1 _240 +s
1241	⧺1 _241
1242	⧺1 _242
1243	⧺1 _243
1244	⧺1 _244
1245	⧺1 _245
1246	⧺1 _246
1247	⧺1 _247
1248	⧺1 _248
1249	⧺1 _249
125	_125
1250	⧺1 _250
1250s	⧺1 _250 +s
1251	⧺1 _251
1252	⧺1 _252
1253	⧺1 _253
1254	⧺1 _254
1255	⧺1 _255
1256	⧺1 _256
1257	⧺1 _257
1258	⧺1 _258
1259	⧺1 _259
126	_126
1260	⧺1 _260
1260s	⧺1 _260 +s
1261	⧺1 _261
1262	⧺1 _262
1263	⧺1 _263
1264	⧺1 _264
1265	⧺1 _265
1266	⧺1 _266
1267	⧺1 _267
1268	⧺1 _268
1269	⧺1 _269
127	_127
1270	⧺1 _270
1270s	⧺1 _270 +s
1271	⧺1 _271
1272	⧺1 _272
1273	⧺1 _273
1274	⧺1 _274
1275	⧺1 _275
1276	⧺1 _276
1277	⧺1 _277
1278	⧺1 _278
1279	⧺1 _279
128	_128
1280	⧺1 _280
1280s	⧺1 _280 +s
1281	⧺1 _281
1282	⧺1 _282
1283	⧺1 _283
1284	⧺1 _284
1285	⧺1 _285
1286	⧺1 _286
1287	⧺1 _287
1288	⧺1 _288
1289	⧺1 _289
129	_129
1290	⧺1 _290
1290s	⧺1 _290 +s
1291	⧺1 _291
1292	⧺1 _292
1293	⧺1 _293
1294	⧺1 _294
1295	⧺1 _295
1296	⧺1 _296
1297	⧺1 _297
1298	⧺1 _298
1299	⧺1 _299
12th	_12th
12th-century	_12th _- _century
13	_13
13-year	_13 _- _year
13.6	_13.6
13.8	⧺1 _3.8
130	_130
1300	⧺1 _300
1300s	⧺1 _300 +s
1301	⧺1 _301
1302	⧺1 _302
1303	⧺1 _303
1304	⧺1 _304
1305	⧺1 _305
1306	⧺1 _306
1307	⧺1 _307
1308	⧺1 _308
1309	⧺1 _309
130s	_130 +s
131	_131
1310	⧺1 _310
1310s	⧺1 _310 +s
1311	⧺1 _311
1312	⧺1 _312
1313	⧺1 _313
1314	⧺1 _314
1315	⧺1 _315
1316	⧺1 _316
1317	⧺1 _317
1318	⧺1 _318
1319	⧺1 _319
132	_132
1320	⧺1 _320
1320s	⧺1 _320 +s
1321	⧺1 _321
1322	⧺1 _322
1323	⧺1 _323
1324	⧺1 _324
1325	⧺1 _325
1326	⧺1 _326
1327	⧺1 _327
1328	⧺1 _328
1329	⧺1 _329
133	_133
1330	⧺1 _330
1330s	⧺1 _330 +s
1331	⧺1 _331
1332	⧺1 _332
1333	⧺1 _333
1334	⧺1 _334
1335	⧺1 _335
1336	⧺1 _336
1337	⧺1 _337
1338	⧺1 _338
1339	⧺1 _339
134	_134
1340	⧺1 _340
134064	_134064
1340s	⧺1 _340 +s
1341	⧺1 _341
1342	⧺1 _342
1343	⧺1 _343
1344	⧺1 _344
1345	⧺1 _345
1346	⧺1 _346
1347	⧺1 _347
1348	⧺1 _348
1349	⧺1 _349
135	_135
1350	⧺1 _350
1350s	⧺1 _350 +s
1351	⧺1 _351
1352	⧺1 _352
1353	⧺1 _353
1354	⧺1 _354
1355	⧺1 _355
1356	⧺1 _356
1357	⧺1 _357
1358	⧺1 _358
1359	⧺1 _359
136	_136
136,000	_136,000
1360	⧺1 _360
1360s	⧺1 _360 +s
1361	⧺1 _361
1362	⧺1 _362
1363	⧺1 _363
1364	⧺1 _364
1365	⧺1 _365
1366	⧺1 _366
1367	⧺1 _367
1368	⧺1 _368
1369	⧺1 _369
137	_137
1370	⧺1 _370
1370s	⧺1 _370 +s
1371	⧺1 _371
1372	⧺1 _372
1373	⧺1 _373
1374	⧺1 _374
1375	⧺1 _375
1376	⧺1 _376
13769	_13769
1377	⧺1 _377
1378	⧺1 _378
1379	⧺1 _379
138	_138
1380	⧺1 _380
1380s	⧺1 _380 +s
1381	⧺1 _381
1382	⧺1 _382
1383	⧺1 _383
1384	⧺1 _384
1385	⧺1 _385
1386	⧺1 _386
1387	⧺1 _387
1388	⧺1 _388
1389	⧺1 _389
139	_139
1390	⧺1 _390
1390s	⧺1 _390 +s
1391	⧺1 _391
1392	⧺1 _392
1393	⧺1 _393
1394	⧺1 _394
1395	⧺1 _395
1396	⧺1 _396
1397	⧺1 _397
1398	⧺1 _398
1399	⧺1 _399
13th	_13th
13th-century	_13th _- _century
14	_14
14.2	_14.2
14.7	_14.7
140	_140
1400	⧺1 _400
1400s	⧺1 _400 +s
1401	⧺1 _401
1402	⧺1 _402
1403	⧺1 _403
1404	⧺1 _404
1405	⧺1 _405
1406	⧺1 _406
1407	⧺1 _407
1408	⧺1 _408
1409	⧺1 _409
140s	_140 +s
141	_141
1410	⧺1 _410
1410s	⧺1 _410 +s
1411	⧺1 _411
1412	⧺1 _412
1413	⧺1 _413
1414	⧺1 _414
1415	⧺1 _415
1416	⧺1 _416
1417	⧺1 _417
1418	⧺1 _418
1419	⧺1 _419
142	_142
1420	⧺1 _420
1420s	⧺1 _420 +s
1421	⧺1 _421
1422	⧺1 _422
1423	⧺1 _423
1424	⧺1 _424
1425	⧺1 _425
1426	⧺1 _426
1427	⧺1 _427
1427a	⧺1 _427 +a
1428	⧺1 _428
1429	⧺1 _429
143	_143
1430	⧺1 _430
1430s	⧺1 _430 +s
1431	⧺1 _431
1432	⧺1 _432
1433	⧺1 _433
1434	⧺1 _434
1435	⧺1 _435
1436	⧺1 _436
1437	⧺1 _437
1438	⧺1 _438
1439	⧺1 _439
144	_144
1440	⧺1 _440
1440s	⧺1 _440 +s
1441	⧺1 _441
1442	⧺1 _442
1443	⧺1 _443
1444	⧺1 _444
1445	⧺1 _445
1446	⧺1 _446
1447	⧺1 _447
1448	⧺1 _448
1449	⧺1 _449
145	_145
1450	⧺1 _450
1450s	⧺1 _450 +s
1451	⧺1 _451
1452	⧺1 _452
1453	⧺1 _453
1454	⧺1 _454
1455	⧺1 _455
1456	⧺1 _456
1457	⧺1 _457
1458	⧺1 _458
1459	⧺1 _459
146	_146
1460	⧺1 _460
1460s	⧺1 _460 +s
1461	⧺1 _461
1462	⧺1 _462
1463	⧺1 _463
1464	⧺1 _464
1465	⧺1 _465
1466	⧺1 _466
1467	⧺1 _467
1468	⧺1 _468
1469	⧺1 _469
147	_147
1470	⧺1 _470
1470s	⧺1 _470 +s
1471	⧺1 _471
1472	⧺1 _472
1473	⧺1 _473
1474	⧺1 _474
1475	⧺1 _475
1476	⧺1 _476
1477	⧺1 _477
1478	⧺1 _478
1479	⧺1 _479
148	_148
1480	⧺1 _480
1480s	⧺1 _480 +s
1481	⧺1 _481
1482	⧺1 _482
1483	⧺1 _483
1484	⧺1 _484
1485	⧺1 _485
1486	⧺1 _486
1487	⧺1 _487
1488	⧺1 _488
1489	⧺1 _489
149	_149
1490	⧺1 _490
1490s	⧺1 _490 +s
1491	⧺1 _491
1492	⧺1 _492
1493	⧺1 _493
1494	⧺1 _494
1495	⧺1 _495
1496	⧺1 _496
1497	⧺1 _497
1498	⧺1 _498
1499	⧺1 _499
14th	⧺1 _4th
14th-century	⧺1 _4th _- _century
15	_15
15-24	_15 _- _24
15-member	_15 _- _member
15-year	_15 _- _year
150	_150
150-180	_150 _- _180
150-200	_150 _- _200
1500	⧺1 _500
1500s	⧺1 _500 +s
1501	⧺1 _501
1502	⧺1 _502
1503	⧺1 _503
1504	⧺1 _504
1505	⧺1 _505
1506	⧺1 _506
1507	⧺1 _507
1508	⧺1 _508
1509	⧺1 _509
150s	_150 +s
151	_151
1510	⧺1 _510
1510s	⧺1 _510 +s
1511	⧺1 _511
1512	⧺1 _512
1513	⧺1 _513
1514	⧺1 _514
1515	⧺1 _515
1516	⧺1 _516
1517	⧺1 _517
1518	⧺1 _518
1519	⧺1 _519
152	_152
1520	⧺1 _520
1520s	⧺1 _520 +s
1521	⧺1 _521
1522	⧺1 _522
1523	⧺1 _523
1524	⧺1 _524
1525	⧺1 _525
1526	⧺1 _526
1527	⧺1 _527
1528	⧺1 _528
1529	⧺1 _529
153	_153
1530	⧺1 _530
1530s	⧺1 _530 +s
1531	⧺1 _531
1532	⧺1 _532
1533	⧺1 _533
1534	⧺1 _534
1535	⧺1 _535
1536	⧺1 _536
1537	⧺1 _537
1538	⧺1 _538
1539	⧺1 _539
154	_154
1540	⧺1 _540
1540s	⧺1 _540 +s
1541	⧺1 _541
1542	⧺1 _542
1543	⧺1 _543
