!	!
!!	!@@ !
!((	!@@ (@@ (
!)	!@@ )
!-	!@@ -
!mxt	!@@ m@@ xt
!xt	!@@ xt
ago	ag@@ o
aguas	ag@@ u@@ as
aguascalientes	ag@@ u@@ as@@ c@@ ali@@ ent@@ es
air	a@@ i@@ r
airline	a@@ ir@@ line
airport	a@@ ir@@ por@@ t
airport/datatable	a@@ ir@@ p@@ ort@@ /@@ dat@@ at@@ a@@ ble
alabama	al@@ ab@@ am@@ a
aladdin	al@@ ad@@ di@@ n
alaska	al@@ as@@ k@@ a
albania	al@@ ban@@ ia
alberta	al@@ ber@@ ta
alberth2	al@@ ber@@ th@@ 2
album	al@@ bu@@ m
album/link	al@@ b@@ um@@ /@@ link
alexander	a@@ le@@ x@@ and@@ er
alexsh	a@@ le@@ x@@ s@@ h
algeria	al@@ g@@ er@@ ia
ali	al@@ i
alias	ali@@ as
align	al@@ ig@@ n
aligned	al@@ ig@@ ne@@ d
all	all
allcaps	all@@ ca@@ p@@ s
alleborgobot	al@@ le@@ bo@@ r@@ go@@ bot
allothernames	al@@ lo@@ ther@@ name@@ s
allothernames/format	al@@ lo@@ ther@@ name@@ s/@@ for@@ ma@@ t
allow	al@@ lo@@ w
almabot	al@@ ma@@ bot
alnoktabot	al@@ no@@ k@@ ta@@ bot
alone	a@@ lo@@ n@@ e
also	al@@ s@@ o
alternative	al@@ ter@@ nat@@ ive
ambox	am@@ box
ambox/category	am@@ box/@@ category
ambox/core	am@@ box@@ /core
american	am@@ er@@ ic@@ an
amiens984~guwiki	am@@ i@@ en@@ s@@ 9@@ 8@@ 4@@ ~@@ gu@@ wik@@ i
amounts	a@@ mo@@ u@@ nt@@ s
amtrak	am@@ tra@@ k
an	an
anas1712	an@@ as@@ 1@@ 7@@ 1@@ 2
anb	an@@ b
anchor	an@@ ch@@ or
ancient	an@@ ci@@ ent
and	and
andaman	and@@ a@@ ma@@ n
andhra	and@@ h@@ r@@ a
andorra	and@@ or@@ r@@ a
andre	and@@ re
angela	an@@ ge@@ l@@ a
anglicise	an@@ g@@ lic@@ is@@ e
anna	an@@ n@@ a
announcement	an@@ no@@ un@@ ce@@ ment
anoopan	an@@ o@@ o@@ p@@ an
anthem	a@@ nt@@ he@@ m
anti-vandalism	a@@ nt@@ i@@ -@@ v@@ and@@ al@@ is@@ m
antigua	a@@ nt@@ ig@@ u@@ a
antwerp	a@@ nt@@ w@@ er@@ p
any	an@@ y
apalsola	a@@ p@@ al@@ so@@ l@@ a
apple	a@@ p@@ p@@ le
ar	ar
arab	ara@@ b
arabia	ara@@ b@@ ia
archaeological	arch@@ a@@ e@@ o@@ log@@ ic@@ al
architect	arch@@ it@@ e@@ ct
archive	arch@@ ive
archives	arch@@ iv@@ es
area	ar@@ e@@ a
arguments	ar@@ gu@@ ments
arizona	ar@@ i@@ z@@ on@@ a
arkansas	ar@@ k@@ an@@ sa@@ s
armenia	ar@@ me@@ nia
armenian	ar@@ me@@ n@@ ian
arms	ar@@ m@@ s
army	ar@@ my
arseny1992	ar@@ s@@ en@@ y@@ 19@@ 9@@ 2
arthurbot	art@@ h@@ ur@@ bot
article	artic@@ le
articles	articles
artigas	art@@ ig@@ as
artwork	art@@ wor@@ k
arunachal	ar@@ u@@ na@@ ch@@ al
as	as
asbox	as@@ box
asi	as@@ i
asia	as@@ ia
assessment	as@@ se@@ ss@@ ment
ast	ast
astronaut	a@@ st@@ ro@@ na@@ ut
athletics	ath@@ le@@ t@@ ics
atom	at@@ o@@ m
atp	at@@ p
attack	at@@ ta@@ ck
attribution-sharealike	at@@ tr@@ ib@@ ut@@ ion@@ -@@ sh@@ ar@@ e@@ al@@ ik@@ e
au	a@@ u
audio	au@@ di@@ o
audio-ipa	au@@ d@@ io@@ -@@ ipa
australia	a@@ us@@ tr@@ al@@ ia
austria	a@@ us@@ tr@@ ia
austria-hungary	a@@ us@@ tr@@ ia@@ -@@ h@@ un@@ g@@ ary
austria/doc	a@@ us@@ tr@@ ia@@ /@@ doc
author	au@@ th@@ or
auto	a@@ ut@@ o
automatic	au@@ to@@ m@@ at@@ ic
autotaxobox	au@@ to@@ taxobox
av	a@@ v
avicbot	av@@ ic@@ bot
avicennasis	av@@ ic@@ en@@ na@@ si@@ s
avocatobot	av@@ o@@ c@@ at@@ o@@ bot
award	a@@ war@@ d
awards	a@@ war@@ d@@ s
az	a@@ z
azad	az@@ ad
azerbaijan	az@@ er@@ ba@@ i@@ j@@ an
azores	az@@ o@@ re@@ s
baba	ba@@ b@@ a
babel	ba@@ bel
babel-n	ba@@ be@@ l@@ -@@ n
babu	ba@@ b@@ u
backlog	ba@@ ck@@ lo@@ g
bad	ba@@ d
badminton	b@@ ad@@ m@@ in@@ to@@ n
bahawalpur	ba@@ h@@ a@@ w@@ al@@ p@@ ur
bahrain	ba@@ h@@ ra@@ in
baja	ba@@ j@@ a
ban	b@@ an
bananas	ban@@ an@@ as
bananasargs	ban@@ an@@ as@@ ar@@ g@@ s
bangladesh	ban@@ g@@ la@@ des@@ h
banknote	ban@@ k@@ note
banner	bann@@ er
banner/config	bann@@ er@@ /config
bar	bar
barbuda	bar@@ bu@@ d@@ a
bare	bar@@ e
barnstar	barnstar
barnstars	barnst@@ ar@@ s
based	bas@@ ed
basepage	bas@@ e@@ page
basepagename	bas@@ e@@ pag@@ en@@ am@@ e
batavian	b@@ at@@ a@@ vi@@ an
bayern	ba@@ y@@ er@@ n
be	b@@ e
beaukarpo	be@@ au@@ k@@ ar@@ p@@ o
beetstra	be@@ et@@ str@@ a
begin	be@@ g@@ in
beilstein	be@@ il@@ st@@ e@@ in
belarus	be@@ l@@ ar@@ us
belgium	be@@ l@@ g@@ i@@ u@@ m
bengali-language	b@@ en@@ g@@ ali@@ -language
benin	b@@ en@@ in
bermuda	ber@@ m@@ u@@ d@@ a
bernardm	ber@@ n@@ ar@@ d@@ m
beta	be@@ ta
better	be@@ tt@@ er
bg	b@@ g
bgbot	b@@ g@@ bot
bharatiya	b@@ har@@ at@@ i@@ y@@ a
bho	b@@ h@@ o
bhutan	b@@ hu@@ tan
bibleref2	b@@ ib@@ ler@@ e@@ f@@ 2
bibleref2c	b@@ ib@@ ler@@ e@@ f@@ 2@@ c
bibleref2c-nb	b@@ ib@@ ler@@ e@@ f@@ 2@@ c-@@ n@@ b
bibleverse	b@@ ib@@ le@@ ver@@ se
big	bi@@ g
biju	bi@@ j@@ u
biography	b@@ io@@ gra@@ ph@@ y
birth	b@@ ir@@ th
bishnu	b@@ is@@ h@@ n@@ u
black	b@@ la@@ ck
blockinblox	b@@ loc@@ k@@ in@@ b@@ lo@@ x
bloem	b@@ lo@@ em
blue	b@@ lu@@ e
bn	b@@ n
body	bo@@ d@@ y
bohemia	bo@@ h@@ em@@ ia
boilingpt	bo@@ i@@ lin@@ g@@ p@@ t
bolivia	bo@@ l@@ iv@@ ia
bollywood	bo@@ l@@ l@@ y@@ w@@ o@@ o@@ d
bombay	bo@@ m@@ ba@@ y
book	book
bookcover	boo@@ k@@ co@@ v@@ er
books	boo@@ k@@ s
books-inline	boo@@ k@@ s-@@ inline
border	bo@@ r@@ d@@ er
border-radius	bo@@ r@@ d@@ er@@ -@@ ra@@ di@@ us
boson	bo@@ so@@ n
bot	bot
both	bot@@ h
botmultichill	bot@@ mult@@ ic@@ h@@ il@@ l
bots	bot@@ s
bottom	bot@@ to@@ m
box	box
box-shadow	box@@ -@@ sh@@ a@@ do@@ w
box/cold	box@@ /col@@ d
box/colh	box@@ /col@@ h
box/colp	box@@ /col@@ p
box/colpastel	box@@ /col@@ p@@ a@@ st@@ e@@ l
box/cols	box@@ /col@@ s
box/colt	box@@ /col@@ t
box/configuration	box@@ /con@@ f@@ ig@@ ur@@ ation
box/oneline	box/@@ o@@ ne@@ line
box/oneline/date	box/@@ o@@ ne@@ lin@@ e/@@ date
box2	box2
br	b@@ r
brabant	bra@@ ban@@ t
bracket	bra@@ c@@ ke@@ t
brackets	bra@@ c@@ ke@@ ts
braille	braille
brazil	bra@@ z@@ il
break	bre@@ a@@ k
breed	bre@@ ed
bridge	b@@ ri@@ d@@ ge
britain	brit@@ ain
britannica	brit@@ an@@ n@@ ic@@ a
british	brit@@ ish
broken	b@@ ro@@ ke@@ n
brunei	b@@ r@@ un@@ e@@ i
brunswick	b@@ r@@ un@@ s@@ w@@ ic@@ k
bs	b@@ s
bs-2	b@@ s-@@ 2
bs-header	b@@ s-@@ header
bs-map	b@@ s-@@ map
bs-overlap	b@@ s-@@ o@@ ver@@ la@@ p
bs-table	b@@ s-@@ table
bs-table1	b@@ s-@@ ta@@ b@@ le@@ 1
bs3	bs@@ 3
bs5	bs@@ 5
bs9	bs@@ 9
bse	b@@ se
bsicon	b@@ si@@ co@@ n
bspx	b@@ sp@@ x
bsrow	bs@@ ro@@ w
bsrow-2	bs@@ ro@@ w@@ -2
buffer	bu@@ ff@@ er
building	bu@@ il@@ d@@ ing
building/color	bu@@ il@@ d@@ ing@@ /color
building/count	bu@@ il@@ d@@ ing@@ /@@ cou@@ nt
bulgaria	b@@ ul@@ g@@ ar@@ ia
bulleted	b@@ ul@@ le@@ ted
burgenland	b@@ ur@@ g@@ en@@ land
burkina	b@@ ur@@ k@@ in@@ a
busy	b@@ us@@ y
button	b@@ ut@@ to@@ n
bxt	b@@ xt
by	by
byelorussian	b@@ ye@@ lo@@ r@@ us@@ si@@ an
byrialbot	b@@ y@@ ri@@ al@@ bot
c	c
c++	c@@ +@@ +
ca	c@@ a
cagliari	c@@ ag@@ li@@ ar@@ i
caiaffa	ca@@ ia@@ ff@@ a
calcio	c@@ al@@ ci@@ o
calicut	c@@ al@@ ic@@ ut
california	c@@ ali@@ for@@ nia
calls	c@@ all@@ s
calso	c@@ al@@ s@@ o
cambodia	c@@ am@@ bo@@ dia
cameroon	c@@ am@@ er@@ o@@ on
campaignbox	ca@@ mp@@ a@@ ign@@ box
campeche	ca@@ mp@@ e@@ ch@@ e
canada	can@@ ada
canal	can@@ al
candidate	can@@ di@@ date
card	car@@ d
carinthia	car@@ in@@ th@@ ia
carkuni	car@@ k@@ un@@ i
carolina	car@@ o@@ lin@@ a
carsrac	car@@ s@@ ra@@ c
carsracbot	car@@ s@@ ra@@ c@@ bot
case	c@@ as@@ e
caste	ca@@ st@@ e
cat	cat
catalog	c@@ at@@ a@@ lo@@ g
category	category
category-inline	cate@@ g@@ or@@ y@@ -@@ inline
category-link	cate@@ g@@ or@@ y@@ -@@ link
catpreceding	c@@ at@@ pre@@ ce@@ d@@ ing
catsucceeding	c@@ at@@ su@@ c@@ ce@@ ed@@ ing
cattrack	c@@ at@@ tra@@ ck
caution	ca@@ ut@@ ion
cave	ca@@ v@@ e
cc-by-sa-3.0	c@@ c-@@ b@@ y@@ -@@ sa@@ -@@ 3@@ .@@ 0
ccbysasource	c@@ c@@ b@@ y@@ s@@ as@@ our@@ ce
cdd	c@@ d@@ d
cdo	c@@ d@@ o
cell	cel@@ l
cell/core	cel@@ l@@ /core
cell/display	cell/@@ dis@@ pla@@ y
cell/dot-id2character	cell/@@ do@@ t-@@ id@@ 2@@ ch@@ ara@@ ct@@ er
cell/dot-id2filename	cell/@@ do@@ t-@@ id@@ 2@@ fi@@ le@@ name
cell/dot-id2filename-8dot	cell/@@ do@@ t-@@ id@@ 2@@ fi@@ le@@ name@@ -@@ 8@@ do@@ t
cell/dot-id2unicode-id	cell/@@ do@@ t-@@ id@@ 2@@ un@@ ico@@ de@@ -@@ id
cell/english&cell2dot-id	cell/@@ en@@ g@@ lis@@ h@@ &@@ cel@@ l@@ 2@@ do@@ t-@@ id
cell/lang2lang-id	cell/@@ lang@@ 2@@ lang-@@ id
cell/main	cell/@@ main
cell/main2	cell/@@ main@@ 2
cell/main2singlecell	cell/@@ main@@ 2@@ s@@ ing@@ le@@ cel@@ l
cemetery	ce@@ me@@ te@@ ry
census	c@@ en@@ su@@ s
center	ce@@ nt@@ er
centralauth	ce@@ nt@@ r@@ al@@ a@@ uth
ceylon	ce@@ y@@ lo@@ n
cguest	c@@ gu@@ es@@ t
chad	ch@@ ad
character	ch@@ ara@@ ct@@ er
character/wikidata	ch@@ ara@@ ct@@ er@@ /@@ wikidata
characters	ch@@ ara@@ ct@@ ers
chart	ch@@ art
chart/celsius	ch@@ art@@ /@@ cel@@ si@@ us
chart/end	ch@@ art@@ /@@ end
chart/fahrenheit	ch@@ art@@ /@@ fa@@ h@@ re@@ n@@ he@@ it
chart/slice	ch@@ art@@ /@@ s@@ lic@@ e
chart/start	ch@@ art@@ /@@ start
chaubey	ch@@ au@@ be@@ y
chebi	che@@ b@@ i
check	che@@ ck
chem	che@@ m
chem/atom	chem@@ /@@ at@@ o@@ m
chem/link	chem@@ /@@ link
chembl	chem@@ b@@ l
chembox	chembox
chiapas	ch@@ ia@@ p@@ as
chihuahua	ch@@ i@@ hu@@ a@@ hu@@ a
chile	ch@@ i@@ le
china	ch@@ in@@ a
chinese/korean	ch@@ in@@ e@@ se@@ /@@ kore@@ an
chobot	ch@@ o@@ bot
church	ch@@ ur@@ ch
cia	c@@ ia
circa	c@@ ir@@ c@@ a
citation	citation
citation/core	cit@@ ation@@ /core
citation/cs1	citation/@@ cs1
citation/cs1/coins	citation/cs1@@ /co@@ in@@ s
citation/cs1/configuration	citation/cs1@@ /con@@ f@@ ig@@ ur@@ ation
citation/cs1/date	citation/cs1@@ /@@ date
citation/cs1/identifiers	citation/cs1@@ /@@ i@@ de@@ nt@@ i@@ fi@@ ers
citation/cs1/suggestions	citation/cs1@@ /@@ su@@ g@@ ge@@ st@@ ion@@ s
citation/cs1/utilities	citation/cs1@@ /@@ ut@@ il@@ it@@ i@@ es
citation/cs1/whitelist	citation/cs1@@ /@@ w@@ h@@ it@@ e@@ list
citation/identifier	citation/@@ i@@ de@@ nt@@ i@@ fi@@ er
citation/make	citation/@@ ma@@ k@@ e
citation/patent	citation/@@ p@@ at@@ ent
citations	cit@@ ations
cite	cite
city	cit@@ y
civil	c@@ iv@@ il
civilian	c@@ iv@@ il@@ ian
clade	c@@ la@@ de
clarify	cl@@ ar@@ if@@ y
class	clas@@ s
class/colour	clas@@ s@@ /co@@ lo@@ ur
class/column	clas@@ s@@ /col@@ um@@ n
cleanup	c@@ le@@ an@@ up
clear	c@@ le@@ ar
click	cl@@ ic@@ k
clickable	cl@@ ic@@ k@@ a@@ ble
climate	cl@@ im@@ ate
club	cl@@ ub
cmain	c@@ main
cmbox	c@@ m@@ box
cnone	c@@ no@@ n@@ e
coahuila	co@@ a@@ hu@@ il@@ a
coast	co@@ ast
cocu	co@@ c@@ u
cocubot	co@@ cu@@ bot
code	code
coins	co@@ in@@ s
col	co@@ l
col-4	col@@ -@@ 4
col-begin	col@@ -@@ be@@ g@@ in
col-break	col@@ -@@ bre@@ a@@ k
col-end	col@@ -@@ end
colima	col@@ im@@ a
collapse	collap@@ se
collapsetop	collap@@ se@@ to@@ p
collapsible	collap@@ si@@ ble
colombia	colo@@ m@@ b@@ ia
color	color
colorado	colo@@ ra@@ d@@ o
colort/colorshort	colo@@ r@@ t@@ /co@@ lo@@ r@@ sh@@ ort
colour	colour
columbia	colum@@ b@@ ia
column	colum@@ n
column-count	colum@@ n@@ -@@ cou@@ nt
columns	colum@@ n@@ s
columns-list	colum@@ n@@ s-@@ list
comma	com@@ m@@ a
command	com@@ m@@ and
commission	com@@ m@@ is@@ s@@ ion
common.css	common@@ .@@ cs@@ s
commons	common@@ s
commons-inline	common@@ s-@@ inline
commonscat	common@@ s@@ cat
commonwealth	common@@ we@@ al@@ th
communist	com@@ m@@ un@@ is@@ t
competition	co@@ mp@@ e@@ tit@@ ion
competition/doc	co@@ mp@@ e@@ tit@@ ion@@ /@@ doc
components	co@@ mp@@ o@@ ne@@ nt@@ s
computer	co@@ mp@@ ut@@ er
conference	con@@ f@@ er@@ en@@ ce
conflict	con@@ f@@ lic@@ t
congress	con@@ gre@@ s@@ s
congress/meta/color	con@@ gre@@ ss@@ /meta/color
connacht	con@@ na@@ ch@@ t
connected	con@@ ne@@ c@@ ted
connecticut	con@@ ne@@ ct@@ ic@@ ut
conservation	con@@ s@@ er@@ v@@ ation
constituency	con@@ st@@ it@@ u@@ enc@@ y
containing	containing
contains	contain@@ s
content	cont@@ ent
contest	cont@@ es@@ t
continent	cont@@ in@@ ent
contrast	cont@@ ra@@ st
contrast/colors	cont@@ ra@@ st@@ /co@@ lo@@ r@@ s
contrib	cont@@ ri@@ b
contributor	cont@@ ri@@ bu@@ to@@ r
conversion	conver@@ s@@ ion
convert	conver@@ t
convert/data	convert/@@ data
convert/documentation	convert/@@ documentation
convert/extra	convert/@@ ex@@ tr@@ a
convert/list	convert/@@ list
convert/numdisp/frac	convert/@@ num@@ dis@@ p@@ /@@ fra@@ c
convert/numdisp/frac0	convert/@@ num@@ dis@@ p@@ /@@ fra@@ c@@ 0
convert/numdisp/frac1	convert/@@ num@@ dis@@ p@@ /@@ fra@@ c@@ 1
convert/text	convert/@@ text
convert/wikidata	convert/@@ wikidata
convert/wikidata/data	convert/@@ wiki@@ data/@@ data
convertabbrev	conver@@ ta@@ b@@ bre@@ v
convertabbrev/iso	conver@@ ta@@ b@@ bre@@ v@@ /@@ iso
convinfobox	con@@ v@@ infobox
convinfobox/pri2	con@@ v@@ info@@ box/@@ p@@ ri@@ 2
convinfobox/sec2	con@@ v@@ info@@ box/@@ se@@ c@@ 2
cookbook	co@@ o@@ k@@ book
coor	co@@ or
coord	co@@ or@@ d
coord-doc-dim	coord@@ -@@ do@@ c-@@ di@@ m
coord/dec2dms	coord/@@ de@@ c@@ 2@@ d@@ m@@ s
coord/dec2dms/dm	coord/@@ de@@ c@@ 2@@ d@@ m@@ s/@@ d@@ m
coord/display/title	coord/@@ dis@@ pla@@ y/@@ title
coord/dms2dec	coord/@@ d@@ m@@ s@@ 2@@ de@@ c
coord/input/d	coord/@@ in@@ p@@ ut@@ /@@ d
coord/input/error	coord/@@ in@@ p@@ ut@@ /@@ er@@ ro@@ r
coord/prec	coord/@@ pre@@ c
coord/sub	coord/@@ su@@ b
coordinate	coord@@ in@@ ate
coordinates	coord@@ in@@ at@@ es
coordination	coord@@ in@@ ation
copy	co@@ p@@ y
copyright	co@@ p@@ y@@ r@@ ight
correct	co@@ r@@ re@@ ct
count	cou@@ nt
country	country
country/autocat	count@@ r@@ y/@@ au@@ to@@ cat
country/imagetable	count@@ r@@ y/@@ im@@ ag@@ e@@ table
countryabbr	count@@ r@@ y@@ ab@@ b@@ r
countryabbr2	count@@ r@@ y@@ ab@@ b@@ r@@ 2
court	cou@@ r@@ t
covers	co@@ ver@@ s
cr-gsw-jt	c@@ r@@ -@@ g@@ s@@ w@@ -@@ j@@ t
create	c@@ re@@ ate
creative	c@@ re@@ at@@ ive
crecurring	c@@ re@@ cur@@ r@@ ing
cref2	c@@ ref@@ 2
cricket	c@@ ric@@ ke@@ t
cricketer	c@@ ric@@ ke@@ ter
cricketer/career	c@@ ric@@ ke@@ ter@@ /@@ car@@ e@@ er
cricketer/national	c@@ ric@@ ke@@ ter@@ /@@ nat@@ io@@ nal
croatia	c@@ ro@@ at@@ ia
crop	c@@ ro@@ p
cross	c@@ ro@@ s@@ s
cs	c@@ s
cs1	cs1
cs2	cs@@ 2
csb	cs@@ b
css	cs@@ s
css3	c@@ ss@@ 3
cuaxdon	cu@@ a@@ x@@ do@@ n
culture	cu@@ l@@ t@@ ure
currency	cur@@ re@@ n@@ c@@ y
current	cur@@ re@@ nt
cvt	c@@ v@@ t
cycling	c@@ y@@ c@@ lin@@ g
cyclist	c@@ y@@ c@@ list
cyclones	c@@ y@@ c@@ lo@@ n@@ es
cyezbot~guwiki	c@@ ye@@ z@@ bot@@ ~@@ gu@@ wik@@ i
cyprus	c@@ yp@@ r@@ us
czech	c@@ z@@ e@@ ch
czechoslovakia	c@@ z@@ e@@ ch@@ o@@ s@@ lo@@ v@@ ak@@ ia
d.c.	d@@ .@@ c@@ .
da	d@@ a
dadra	d@@ ad@@ r@@ a
dagger	d@@ ag@@ g@@ er
dahomey	da@@ ho@@ me@@ y
dakota	da@@ ko@@ ta
dal	d@@ al
dal/meta/color	dal@@ /meta/color
dam	da@@ m
darev	d@@ ar@@ e@@ v
darkicebot	d@@ ar@@ k@@ ic@@ e@@ bot
dash	d@@ as@@ h
data	data
data/documentation	data/@@ documentation
data/scripts	data/@@ scrip@@ ts
date	date
dated	dated
datei18n	dat@@ e@@ i@@ 1@@ 8@@ n
dates	dat@@ es
days	da@@ ys
db	d@@ b
dcljr	d@@ cl@@ j@@ r
de	de
de-1	de@@ -@@ 1
de-2	de@@ -2
dead	de@@ ad
deaglebot	de@@ ag@@ le@@ bot
death	de@@ at@@ h
debian	de@@ bi@@ an
dec	de@@ c
decimals	de@@ c@@ im@@ al@@ s
decreasepositive	de@@ c@@ re@@ as@@ e@@ po@@ sit@@ ive
defn	de@@ f@@ n
degree/bachelor	de@@ gre@@ e/@@ ba@@ che@@ lor
degree/bsc	de@@ gre@@ e/@@ bs@@ c
deity	de@@ it@@ y
deity/wikidata	de@@ it@@ y/@@ wikidata
delaware	de@@ la@@ war@@ e
delete	de@@ le@@ te
deletion/dated	de@@ le@@ t@@ ion@@ /@@ dated
delink	de@@ link
democratic	de@@ mo@@ c@@ r@@ at@@ ic
demotemplate	de@@ mo@@ template
denmark	d@@ en@@ mar@@ k
denniss	d@@ en@@ n@@ is@@ s
density	d@@ en@@ sity
deprecated	de@@ pre@@ cate@@ d
desai	de@@ sa@@ i
desam	de@@ sa@@ m
description	de@@ scrip@@ t@@ ion
designation	des@@ ign@@ ation
designation/colour	des@@ ign@@ ation@@ /co@@ lo@@ ur
designation/divbox	des@@ ign@@ ation/@@ di@@ v@@ box
designation/text	des@@ ign@@ ation/@@ text
destination	de@@ st@@ in@@ ation
detect	de@@ te@@ ct
detect/config	de@@ te@@ ct@@ /config
detect/data	de@@ te@@ ct@@ /data
devices	de@@ v@@ ic@@ es
dharamsinh	d@@ har@@ am@@ s@@ in@@ h
digambara	di@@ g@@ am@@ bar@@ a
diligence	d@@ il@@ ig@@ en@@ ce
dim	di@@ m
dim/core	di@@ m@@ /core
diplomacy	d@@ ip@@ lo@@ ma@@ c@@ y
diq	di@@ q
dir	di@@ r
direction	dire@@ ction
disambig	dis@@ am@@ bi@@ g
discharge	dis@@ ch@@ ar@@ ge
disclaimer	dis@@ c@@ la@@ im@@ er
discussion/dated	dis@@ c@@ us@@ s@@ ion@@ /@@ dated
diseasesdb2	dis@@ e@@ as@@ es@@ d@@ b@@ 2
display	dis@@ pla@@ y
dispute	dis@@ p@@ ut@@ e
distinguish	dis@@ t@@ in@@ gu@@ ish
district	dis@@ tr@@ ic@@ t
div	di@@ v
divbox	di@@ v@@ box
djsasso	d@@ j@@ s@@ as@@ s@@ o
dmitri	d@@ m@@ it@@ r@@ i
dmoz	d@@ mo@@ z
dmy	d@@ my
doc	doc
documentation	documentation
documentation/config	document@@ ation@@ /config
documentation/core	document@@ ation@@ /core
documentation/core2	document@@ ation@@ /co@@ re@@ 2
documentation/docname	documentation/@@ do@@ c@@ name
documentation/end	documentation/@@ end
documentation/id2	documentation/@@ id@@ 2
documentation/preload	documentation/@@ pre@@ lo@@ ad
documentation/start	documentation/@@ start
documentation/template	documentation/@@ template
documentation/title	documentation/@@ title
dog	do@@ g
doi	do@@ i
domain	do@@ main
don't	do@@ n@@ '@@ t
draft:જ્યૉર્જ	d@@ ra@@ f@@ t@@ :@@ જ@@ ્ય@@ ૉ@@ ર્જ
dragonbot	d@@ r@@ ag@@ on@@ bot
dravida	d@@ ra@@ vi@@ d@@ a
draw	d@@ ra@@ w
drenthe	d@@ re@@ nt@@ h@@ e
drink	d@@ rin@@ k
dropped	d@@ ro@@ p@@ p@@ ed
dsb	d@@ s@@ b
dts	d@@ ts
dubious	du@@ b@@ io@@ us
dudík	du@@ d@@ í@@ k
dummytab	d@@ um@@ m@@ y@@ ta@@ b
duplicate	du@@ p@@ lic@@ ate
durango	d@@ ur@@ an@@ g@@ o
duration	d@@ ur@@ ation
durazno	du@@ ra@@ z@@ no
dutch	d@@ ut@@ ch
east	e@@ ast
eb1911	e@@ b@@ 19@@ 1@@ 1
ecuador	e@@ cu@@ a@@ do@@ r
ed	ed
edit	edit
editatwikidata	ed@@ it@@ at@@ wikidata
editnotice	ed@@ it@@ no@@ t@@ ice
editor's	ed@@ it@@ or@@ '@@ s
edits	ed@@ it@@ s
educa33e	e@@ du@@ ca@@ 3@@ 3@@ e
edward	ed@@ war@@ d
effective	e@@ ff@@ e@@ ct@@ ive
effeietsanders	e@@ ff@@ e@@ i@@ et@@ s@@ and@@ ers
efn	e@@ f@@ n
efn-ua	e@@ f@@ n@@ -@@ u@@ a
egypt	e@@ g@@ yp@@ t
either	e@@ it@@ h@@ er
eivindgh	e@@ iv@@ in@@ d@@ g@@ h
election	election
election/row	ele@@ ct@@ ion@@ /@@ ro@@ w
election/shortname	ele@@ ct@@ ion@@ /@@ sh@@ ort@@ name
electors	ele@@ ct@@ or@@ s
elements	ele@@ ments
eliminated	el@@ im@@ in@@ ate@@ d
ell2	el@@ l@@ 2
emacs	e@@ ma@@ c@@ s
emausbot	e@@ ma@@ us@@ bot
embassy	em@@ bas@@ s@@ y
