!	_!
!!	_!!
!((	_!((
!)	_!)
!-	_!-
!mxt	_!mxt
!xt	_!xt
"નિયમોને	_"નિયમોને
bibleverse	_bibleverse
big	_big
biju	_biju
biography	_biography
birth	_birth
bishnu	_bishnu
black	_black
blockinblox	_blockinblox
bloem	_bloem
blue	_blue
bn	_bn
body	_body
bohemia	_bohemia
boilingpt	_boilingpt
bolivia	_bolivia
bollywood	_bollywood
bombay	_bombay
book	_book
bookcover	_bookcover
books	_book +s
books-inline	_book +s _- _inline
border	_border
border-radius	_border _- _radius
boson	_boson
bot	_bot
both	_both
botmultichill	_botmultichill
bots	_bot +s
bottom	_bottom
box	_box
box-shadow	_box _- _shadow
box/cold	_box/cold
box/colh	_box/colh
box/colp	_box/colp
box/colpastel	_box/colpastel
box/cols	_box/cols
box/colt	_box/colt
box/configuration	_box/configuration
box/oneline	_box/oneline
box/oneline/date	_box/oneline/date
box2	_box2
br	_br
brabant	_brabant
bracket	_bracket
brackets	_bracket +s
braille	_braille
brazil	_brazil
break	_break
breed	_breed
bridge	_bridge
britain	_britain
britannica	_britannica
british	_british
broken	_broken
brunei	_brunei
brunswick	_brunswick
bs	_bs
bs-2	_bs _- _2
bs-header	_bs _- _header
bs-map	_bs _- _map
bs-overlap	_bs _- _overlap
bs-table	_bs _- _table
bs-table1	_bs _- _table1
bs3	_bs3
bs5	_bs5
bs9	_bs9
bse	_bse
bsicon	_bsicon
bspx	_bspx
bsrow	_bsrow
bsrow-2	_bsrow _- _2
buffer	_buffer
building	_building
building/color	_building/color
building/count	_building/count
bulgaria	_bulgaria
bulleted	_bulleted
burgenland	_burgenland
burkina	_burkina
busy	_busy
button	_button
bxt	_bxt
by	_by
byelorussian	_byelorussian
byrialbot	_byrialbot
c	_c
c++	_c++
ca	_ca
cagliari	_cagliari
caiaffa	_caiaffa
calcio	_calcio
calicut	_calicut
california	_california
calls	_calls
calso	_calso
cambodia	_cambodia
cameroon	_cameroon
campaignbox	_campaignbox
campeche	_campeche
canada	_canada
canal	_canal
candidate	_candidate
card	_card
carinthia	_carinthia
carkuni	_carkuni
carolina	_carolina
carsrac	_carsrac
carsracbot	_carsracbot
case	_case
caste	_caste
cat	_cat
catalog	_catalog
category	_category
category-inline	_category _- _inline
category-link	_category _- _link
catpreceding	_catpreceding
catsucceeding	_catsucceeding
cattrack	_cattrack
caution	_caution
cave	_cave
cc-by-sa-3.0	_cc _- _by _- _sa _- _3.0
ccbysasource	_ccbysasource
cdd	_cdd
cdo	_cdo
cell	_cell
cell/core	_cell/core
cell/display	_cell/display
cell/dot-id2character	_cell/dot _- _id2character
cell/dot-id2filename	_cell/dot _- _id2filename
cell/dot-id2filename-8dot	_cell/dot _- _id2filename _- _8dot
cell/dot-id2unicode-id	_cell/dot _- _id2unicode _- _id
cell/english&cell2dot-id	_cell/english&cell2dot _- _id
cell/lang2lang-id	_cell/lang2lang _- _id
cell/main	_cell/main
cell/main2	_cell/main2
cell/main2singlecell	_cell/main2 _single _cell
cemetery	_cemetery
census	_census
center	_center
centralauth	_centralauth
ceylon	_ceylon
cguest	_cguest
chad	_chad
character	_character
character/wikidata	_character/wikidata
characters	_character +s
chart	_chart
chart/celsius	_chart/celsius
chart/end	_chart/end
chart/fahrenheit	_chart/fahrenheit
chart/slice	_chart/slice
chart/start	_chart/start
chaubey	_chaubey
chebi	_chebi
check	_check
chem	_chem
chem/atom	_chem/atom
chem/link	_chem/link
chembl	_chembl
chembox	_chembox
chiapas	_chiapas
chihuahua	_chihuahua
chile	_chile
china	_china
chinese/korean	_chinese/korean
chobot	_chobot
church	_church
cia	_cia
circa	_circa
citation	_citation
citation/core	_citation/core
citation/cs1	_citation/cs1
citation/cs1/coins	_citation/cs1/coins
citation/cs1/configuration	_citation/cs1/configuration
citation/cs1/date	_citation/cs1/date
citation/cs1/identifiers	_citation/cs1/identifiers
citation/cs1/suggestions	_citation/cs1/suggestions
citation/cs1/utilities	_citation/cs1/utilities
citation/cs1/whitelist	_citation/cs1/whitelist
citation/identifier	_citation/identifier
citation/make	_citation/make
citation/patent	_citation/patent
citations	_citation +s
cite	_cite
city	_city
civil	_civil
civilian	_civilian
clade	_clade
clarify	_clarify
class	_class
class/colour	_class/colour
class/column	_class/column
cleanup	_cleanup
clear	_clear
click	_click
clickable	_clickable
climate	_climate
club	_club
cmain	_cmain
cmbox	_cmbox
cnone	_cnone
coahuila	_coahuila
coast	_coast
cocu	_cocu
cocubot	_cocubot
code	_code
coins	_coins
col	_col
col-4	_col _- _4
col-begin	_col _- _begin
col-break	_col _- _break
col-end	_col _- _end
colima	_colima
collapse	_collapse
collapsetop	_collapsetop
collapsible	_collapsible
colombia	_colombia
color	_color
colorado	_colorado
colort/colorshort	_colort/colorshort
colour	_colour
columbia	_columbia
column	_column
column-count	_column _- _count
columns	_column +s
columns-list	_column +s _- _list
comma	_comma
command	_command
commission	_commission
common.css	_common.css
commons	_commons
commons-inline	_commons _- _inline
commonscat	_commonscat
commonwealth	_commonwealth
communist	_communist
competition	_competition
competition/doc	_competition/doc
components	_components
computer	_computer
conference	_conference
conflict	_conflict
congress	_congress
congress/meta/color	_congress/meta/color
connacht	_connacht
connected	_connected
connecticut	_connecticut
conservation	_conservation
constituency	_constituency
containing	_containing
contains	_contains
content	_content
contest	_contest
continent	_continent
contrast	_contrast
contrast/colors	_contrast/colors
contrib	_contrib
contributor	_contributor
conversion	_conversion
convert	_convert
convert/data	_convert/data
convert/documentation	_convert/documentation
convert/extra	_convert/extra
convert/list	_convert/list
convert/numdisp/frac	_convert/numdisp/frac
convert/numdisp/frac0	_convert/numdisp/frac0
convert/numdisp/frac1	_convert/numdisp/frac1
convert/text	_convert/text
convert/wikidata	_convert/wikidata
convert/wikidata/data	_convert/wikidata/data
convertabbrev	_convertabbrev
convertabbrev/iso	_convertabbrev/iso
convinfobox	_convinfobox
convinfobox/pri2	_convinfobox/pri2
convinfobox/sec2	_convinfobox/sec2
cookbook	_cookbook
coor	_coor
coord	_coord
coord-doc-dim	_coord _- _doc _- _dim
coord/dec2dms	_coord/dec2dms
coord/dec2dms/dm	_coord/dec2dms/dm
coord/display/title	_coord/display/title
coord/dms2dec	_coord/dms2dec
coord/input/d	_coord/input/d
coord/input/error	_coord/input/error
coord/prec	_coord/prec
coord/sub	_coord/sub
coordinate	_coordinate
coordinates	_coordinate +s
coordination	_coordination
copy	_copy
copyright	_copy _right
correct	_correct
count	_count
country	_country
country/autocat	_country/autocat
country/imagetable	_country/imagetable
countryabbr	_country _abbr
countryabbr2	_countryabbr2
court	_court
covers	_covers
cr-gsw-jt	_cr _- _gsw _- _jt
create	_create
creative	_creative
crecurring	_crecurring
cref2	_cref2
cricket	_cricket
cricketer	_cricketer
cricketer/career	_cricketer/career
cricketer/national	_cricketer/national
croatia	_croatia
crop	_crop
cross	_cross
cs	_cs
cs1	_cs1
cs2	_cs2
csb	_csb
css	_css
css3	_css3
cuaxdon	_cuaxdon
culture	_culture
currency	_currency
current	_current
cvt	_cvt
cycling	_cycling
cyclist	_cyclist
cyclones	_cyclones
cyezbot~guwiki	_cyezbot~guwiki
cyprus	_cyprus
czech	_czech
czechoslovakia	_czechoslovakia
d.c.	_d.c.
da	_da
dadra	_dadra
dagger	_dagger
dahomey	_dahomey
dakota	_dakota
dal	_dal
dal/meta/color	_dal/meta/color
dam	_dam
darev	_darev
darkicebot	_darkicebot
dash	_dash
data	_data
data/documentation	_data/documentation
data/scripts	_data/scripts
date	_date
dated	_dated
datei18n	_date _i18n
dates	_date +s
days	_days
db	_db
dcljr	_dcljr
de	_de
de-1	_de _- _1
de-2	_de _- _2
dead	_dead
deaglebot	_deaglebot
death	_death
debian	_debian
dec	_dec
decimals	_decimals
decreasepositive	_decreasepositive
defn	_defn
degree/bachelor	_degree/bachelor
degree/bsc	_degree/bsc
deity	_deity
deity/wikidata	_deity/wikidata
delaware	_delaware
delete	_delete
deletion/dated	_deletion/dated
delink	_delink
democratic	_democratic
demotemplate	_demotemplate
denmark	_denmark
denniss	_denniss
density	_density
deprecated	_deprecated
desai	_desai
desam	_desam
description	_description
designation	_designation
designation/colour	_designation/colour
designation/divbox	_designation/divbox
designation/text	_designation/text
destination	_destination
detect	_detect
detect/config	_detect/config
detect/data	_detect/data
devices	_devices
dharamsinh	_dharamsinh
digambara	_digambara
diligence	_diligence
dim	_dim
dim/core	_dim/core
diplomacy	_diplomacy
diq	_diq
dir	_dir
direction	_direction
disambig	_disambig
discharge	_discharge
disclaimer	_disclaimer
discussion/dated	_discussion/dated
diseasesdb2	_diseasesdb2
display	_display
dispute	_dispute
distinguish	_distinguish
district	_district
div	_div
divbox	_divbox
djsasso	_djsasso
dmitri	_dmitri
dmoz	_dmoz
dmy	_dmy
doc	_doc
documentation	_documentation
documentation/config	_documentation/config
documentation/core	_documentation/core
documentation/core2	_documentation/core2
documentation/docname	_documentation/docname
documentation/end	_documentation/end
documentation/id2	_documentation/id2
documentation/preload	_documentation/preload
documentation/start	_documentation/start
documentation/template	_documentation/template
documentation/title	_documentation/title
dog	_dog
doi	_doi
domain	_domain
don't	_don't
draft:જ્યૉર્જ	_draft:જ્યૉર્જ
dragonbot	_dragonbot
dravida	_dravida
draw	_draw
drenthe	_drenthe
drink	_drink
dropped	_dropped
dsb	_dsb
dts	_dts
dubious	_dubious
dudík	_dudík
dummytab	_dummytab
duplicate	_duplicate
durango	_durango
duration	_duration
durazno	_durazno
dutch	_dutch
east	_east
eb1911	_eb1911
ecuador	_ecuador
ed	_ed
edit	_edit
editatwikidata	_editatwikidata
editnotice	_edit _notice
editor's	_editor's
edits	_edit +s
educa33e	_educa33e
edward	_edward
effective	_effective
effeietsanders	_effeietsanders
efn	_efn
efn-ua	_efn _- _ua
egypt	_egypt
either	_either
eivindgh	_eivindgh
election	_election
election/row	_election/row
election/shortname	_election/shortname
electors	_electors
elements	_elements
eliminated	_eliminated
ell2	_ell2
emacs	_emacs
emausbot	_emausbot
embassy	_embassy
emergency-bot-shutoff	_emergency _- _bot _- _shutoff
emijrp/list	_emijrp/list
empire	_empire
empty	_empty
emptyor	_emptyor
en	_en
en-2	_en _- _2
en-3	_en _- _3
en-4	_en _- _4
en-gb	_en _- _gb
en-in	_en _- _in
en-n	_en _- _n
en-us-4	_en _- _us _- _4
encode	_encode
encyclopaedia	_encyclopaedia
encyclopedia	_encyclopedia
encyclopædia	_encyclopædia
end	_end
endflowlist	_endflowlist
endswith	_endswith
eng	_eng
engels	_engels
english	_english
ensure	_ensure
entity	_entity
entries	_entries
entry	_entry
enum	_enum
eo	_eo
episode	_episode
eritrea	_eritrea
erkan	_erkan
error	_error
error-small	_error _- _small
errors	_error +s
errors:	_errors:
es	_es
es-1	_es _- _1
escarbot	_escarbot
estimation	_estimation
estonian	_estonian
ethics	_ethics
ethiopia	_ethiopia
ethiopian	_ethiopian
ethiopic	_ethiopic
ethnic	_ethnic
ethnologue16	_ethnologue16
ethnologue19	_ethnologue19
euindex	_euindex
eustatius	_eustatius
event	_event
example	_example
exchange	_exchange
expand	_expand
expiry	_expiry
explanation	_explanation
external	_external
extinction	_extinction
extract	_extract
extract/in	_extract/in
f1	_f1
fa	_fa
facebook	_facebook
factbook	_factbook
fadesga	_fadesga
failed	_failed
failure	_failure
fair	_fair
fajrbot	_fajrbot
fake	_fake
falkland	_falkland
family	_family
faroe	_faroe
faso	_faso
fb	_fb
fb-big	_fb _- _big
federal	_federal
federated	_federated
ffd	_ffd
fi	_fi
figures	_figures
figures/rnd	_figures/rnd
file	_file
files	_file +s
film	_film
filter	_filter
find0	_find0
finland	_finland
fiorentina	_fiorentina
fire	_fire
firibot	_firibot
first	_first
flag	_flag
flag2	_flag2
flagairforce	_flagairforce
flagbio	_flagbio
flagdeco	_flagdeco
flagdeco/core	_flagdeco/core
flagicon	_flag _icon
flagicon/core	_flagicon/core
flagioc2	_flagioc2
flagnavy	_flag _navy
flanders	_flanders
flat	_flat
flatlist/microformat	_flatlist/microformat
flemish	_flemish
flevoland	_flevoland
flood	_flood
florida	_florida
flowlist	_flowlist
fmbox	_fmbox
folk	_folk
font	_font
football	_football
footer	_footer
footer/tracking	_footer/tracking
footnotes	_footnotes
for	_for
force	_force
format	_format
formatnum	_formatnum
former	_former
fossil	_fossil
foxbot	_foxbot
foxie001	_foxie001
fr	_fr
fr-n	_fr _- _n
fra	_fra
france	_france
franchise	_franchise
frank5308000	_frank5308000
frankfurt	_frankfurt
free	_free
french-language	_french _- _language
friesland	_friesland
from	_from
front/meta/color	_front/meta/color
fullbasepagename	_fullbasepagename
fullrootpagename	_fullrootpagename
functions	_functions
gadget-wiked.js	_gadget _- _wiked.js
gag	_gag
gain	_gain
gallery	_gallery
gallery/aux	_gallery/aux
gambia	_gambia
game	_game
gangleri	_gangleri
gaps	_gaps
gaudio	_gaudio
gauge	_gauge
gauge/data	_gauge/data
gauge/extra	_gauge/extra
gbm4ibx	_gbm4ibx
gbmappingsmall	_gbmappingsmall
gelderland	_gelderland
general	_general
geo-stub	_geo _- _stub
geobox	_geobox
geobox2	_geobox2
geogroup	_geogroup
geological	_geological
georgia	_georgia
georgian	_georgian
georgiaphysiology	_georgiaphysiology
geosouthasia	_geosouthasia
geotemplate	_geotemplate
geotemplate/lang	_geotemplate/lang
german-language	_german _- _language
germany	_germany
get	_get
gfdl	_gfdl
ghana	_ghana
gibraltar	_gibraltar
gl	_gl
globals	_globals
glottolink	_glottolink
glottolog	_glottolog
gnu	_gnu
gold	_gold
golfer	_golfer
google	_google
governing	_governing
government	_government
gpl-lic	_gpl _- _lic
grading	_grading
graph:pageviews	_graph:pageviews
grapheme	_grapheme
graphical	_graphical
great	_great
greater	_greater
greece	_greece
grin	_grin
groningen	_groningen
ground	_ground
group	_group
groups	_group +s
groveonline	_groveonline
gu	_gu
gu-0	_gu _- _0
gu-1	_gu _- _1
gu-2	_gu _- _2
gu-3	_gu _- _3
gu-4	_gu _- _4
gu-n	_gu _- _n
guam	_guam
guanajuato	_guanajuato
guerrero	_guerrero
guiana	_guiana
guide	_guide
gujarat-geo-stub	_gujarat _- _geo _- _stub
gujarati	_gujarati
gujlit	_gujlit
guyana	_guyana
gvp	_gvp
hainaut	_hainaut
hampshire	_hampshire
handbook	_handbook
handler	_handler
handler/blacklist	_handler/blacklist
handler/config	_handler/config
handler/data	_handler/data
handler/shared	_handler/shared
harald	_harald
harsh4101991	_harsh4101991
harvard	_harvard
has	_has
hatnote	_hatnote
hatnote-inline	_hatnote _- _inline
haveli	_haveli
hawaii	_hawaii
hcards	_hcard +s
header	_header
headerbar	_headerbar
heading	_heading
heatcapacity	_heatcapacity
height	_height
help	_help
helpbox	_helpbox
herald	_herald
herculebot	_herculebot
heritage	_heritage
herodotus	_herodotus
hi	_hi
hi-0	_hi _- _0
hi-1	_hi _- _1
hi-2	_hi _- _2
hi-3	_hi _- _3
hi-4	_hi _- _4
hi-n	_hi _- _n
hidalgo	_hidalgo
hidden	_hidden
hide	_hide
high	_high
high-risk	_high _- _risk
high-use	_high _- _use
highlight	_highlight
highlight/core	_highlight/core
hiking	_hiking
hind	_hind
hindu	_hindu
historic	_historic
history	_history
history/output	_history/output
hlist	_hlist
hold	_hold
holiday	_holiday
holiday/date	_holiday/date
holland	_holland
hong	_hong
horst	_horst
hotcat	_hotcat
how	_how
how-to	_how _- _to
hr	_hr
hsb	_hsb
htmlbuilder	_htmlbuilder
hu	_hu
hugo.arg	_hugo.arg
hungary	_hungary
i18n	_i18n
iaaf	_iaaf
iafd	_iafd
iast	_iast
icd10	_icd10
icd9	_icd9
ice	_ice
iceland	_iceland
ices2csharp	_ices2csharp
icon	_icon
icon/data	_icon/data
icon2	_icon2
id	_id
idaho	_idaho
idioma-bot	_idioma _- _bot
idw	_idw
iem4ibx	_iem4ibx
if	_if
ifarticle	_ifarticle
ifnotempty	_ifnotempty
ifsubst	_ifsubst
illinois	_illinois
image	_image
images	_image +s
imdb	_imdb
importance	_importance
importance/entry	_importance/entry
importance/icon	_importance/icon
importance/row	_importance/row
improve	_improve
in	_in
inc.	_inc.
incorporating	_incorporating
incorrect	_incorrect
increasenegative	_increasenegative
ind	_ind
independent	_independent
index	_index
index/getchar	_index/getchar
india	_india
india/meta/color	_india/meta/color
indian	_indian
indiana	_indiana
indies	_indies
indo-pakistani	_indo _- _pakistani
indonesia	_indonesia
info	_info
infobox	_infobox
infobox3cols	_infobox3cols
infoboximage	_infobox _image
inline	_inline
inr	_inr
inrconvert	_inrconvert
inrconvert/currentrate	_inrconvert/currentrate
insomnia	_insomnia
installation	_installation
instrument	_instrument
instrument/classification	_instrument/classification
instrument/color	_instrument/color
integrity	_integrity
internal	_internal
international	_international
internet	_internet
interview	_interview
intricate	_intricate
intro	_intro
invalid	_invalid
io	_io
iowa	_iowa
ip	_ip
ipa	_ipa
ipa-all	_ipa _- _all
ipa-fa	_ipa _- _fa
ipa-hns	_ipa _- _hns
ipa-ml	_ipa _- _ml
ipa-sa	_ipa _- _sa
ipa-sh	_ipa _- _sh
ipablink	_ipablink
ipac-en	_ipac _- _en
ipac-en/data	_ipac _- _en/data
ipac-en/phonemes	_ipac _- _en/phonemes
ipac-en/pronunciation	_ipac _- _en/pronunciation
ipac-ro/pronunciation	_ipac _- _ro/pronunciation
ipaeng	_ipaeng
ipaslink	_ipaslink
ipv4	_ipv4
iran	_iran
iraq	_iraq
irc	_irc
ireland	_ireland
irish	_irish
irvin	_irvin
is	_is
isbn	_isbn
isbnt	_isbnt
island	_island
islands	_island +s
islands/area	_islands/area
islands/density	_islands/density
islands/length	_islands/length
iso	_iso
isodate	_isodate
israel	_israel
issues	_issues
isvalidpagename	_isvalidpagename
isxn	_isxn
it	_it
italic	_italic
italy	_italy
item	_item
itis	_itis
iucn	_iucn
iucn2009.2	_iucn2009.2
iucn2012.2	_iucn2012.2
ivory	_ivory
ja	_ja
jain	_jain
jalisco	_jalisco
jammu	_jammu
jan	_jan
janata	_janata
jandbot	_jandbot
janwo	_janwo
japan	_japan
japanese-language	_japanese _- _language
jct/city	_jct/city
jersey	_jersey
jfblanc	_jfblanc
jhsbot	_jhsbot
jiggythakor	_jiggythakor
jnanpith	_jnanpith
jon	_jon
jordan	_jordan
jorunn	_jorunn
jose77	_jose77
josé	_josé
journal	_journal
jsoby	_jsoby
jstor/userbox	_jstor/userbox
junafani	_junafani
jurisdiction	_jurisdiction
jybot	_jybot
jøma	_jøma
ka	_ka
kalmar	_kalmar
kamgar	_kamgar
kanesue	_kanesue
kanjy	_kanjy
kansas	_kansas
karnataka	_karnataka
kashmir	_kashmir
kasirbot	_kasirbot
kazakh	_kazakh
kazakhstan	_kazakhstan
kazhagam/meta/color	_kazhagam/meta/color
kedar	_kedar
kelovy	_kelovy
kentucky	_kentucky
kenya	_kenya
kg	_kg
khan	_khan
khanbot	_khanbot
kharan	_kharan
khmer-language	_khmer _- _language
kia	_kia
kindness	_kindness
kingdom	_kingdom
kirghiz	_kirghiz
kisan	_kisan
kit	_kit
km	_km
kn	_kn
ko	_ko
koavf	_koavf
kolega2357	_kolega2357
kolibrios	_kolibrios
kolkata	_kolkata
kondicherry	_kondicherry
kong	_kong
konkan	_konkan
korea	_korea
korean	_korean
kutchkutch	_kutchkutch
kuwait	_kuwait
kyrgyzstan	_kyrgyzstan
la	_la
label	_label
labelled	_labelled
labrador	_labrador
lang	_lang
lang-ab	_lang _- _ab
lang-am	_lang _- _am
lang-ar	_lang _- _ar
lang-az	_lang _- _az
lang-bo	_lang _- _bo
lang-de	_lang _- _de
lang-dv	_lang _- _dv
lang-el	_lang _- _el
lang-en	_lang _- _en
lang-es	_lang _- _es
lang-fa	_lang _- _fa
lang-fi	_lang _- _fi
lang-fil	_lang _- _fil
lang-fr	_lang _- _fr
lang-grc-gre	_lang _- _grc _- _gre
lang-gu	_lang _- _gu
lang-he	_lang _- _he
lang-hi	_lang _- _hi
lang-hy	_lang _- _hy
lang-id	_lang _- _id
lang-ja	_lang _- _ja
lang-km	_lang _- _km
lang-kn	_lang _- _kn
lang-ky	_lang _- _ky
lang-la	_lang _- _la
lang-lo	_lang _- _lo
lang-ml	_lang _- _ml
lang-mr	_lang _- _mr
lang-my	_lang _- _my
lang-ne	_lang _- _ne
lang-nl	_lang _- _nl
lang-or	_lang _- _or
lang-pa	_lang _- _pa
lang-ps	_lang _- _ps
lang-rn	_lang _- _rn
lang-rom	_lang _- _rom
lang-ru	_lang _- _ru
lang-rw	_lang _- _rw
lang-sa	_lang _- _sa
lang-sd	_lang _- _sd
lang-se	_lang _- _se
lang-si	_lang _- _si
lang-sw	_lang _- _sw
lang-ta	_lang _- _ta
lang-te	_lang _- _te
lang-tg	_lang _- _tg
lang-th	_lang _- _th
lang-tk	_lang _- _tk
lang-tr	_lang _- _tr
lang-ur	_lang _- _ur
lang-uz	_lang _- _uz
lang-yi	_lang _- _yi
lang-zh	_lang _- _zh
lang/data	_lang/data
lang/documentor	_lang/documentor
lang/iso	_lang/iso
language	_language
language/codelist	_language/codelist
language/data/iana	_language/data/iana
language/data/iso	_language/data/iso
language/data/wp	_language/data/wp
language/family-color	_language/family _- _color
language/genetic	_language/genetic
language/language	_language/language
language/linguistlist	_language/linguistlist
language/name/data	_language/name/data
language/notes	_language/notes
language/quilt	_language/quilt
language/ref	_language/ref
languages	_language +s
lanka	_lanka
laos	_laos
larger	_larger
lasius	_lasius
latin-language	_latin _- _language
latvia	_latvia
latvian	_latvian
law	_law
layout	_layout
lead	_lead
least	_least
leave	_leave
lebanon	_lebanon
left	_left
left/coast	_left/coast
legend	_legend
legend0	_legend0
legislature	_legislature
leinster	_leinster
len	_len
len/core	_len/core
lesotho	_lesotho
lethal	_lethal
letter/trim	_letter/trim
level	_level
león	_león
li	_li
liberia	_liberia
libya	_libya
license	_license
liechtenstein	_liechtenstein
limburg	_limburg
limit	_limit
limited	_limited
line	_line
lines	_line +s
link	_link
link/core	_link/core
link/normal	_link/normal
link/relative	_link/relative
link/secure	_link/secure
link/text	_link/text
links	_link +s
linktext	_link _text
list	_list
list-style-type	_list _- _style _- _type
list/entry	_list/entry
listen	_listen
listing	_listing
lists	_list +s
lithuania	_lithuania
lithuanian	_lithuanian
lixer	_lixer
liège	_liège
location	_location
logicwiki	_logicwiki
logo	_logo
logo.png	_logo.png
logos	_logo +s
logp	_logp
london	_london
long	_long
longitem	_long _item
longlisted	_longlisted
lookup	_lookup
loop	_loop
lordship	_lordship
loremipsum	_loremipsum
louisiana	_louisiana
lovysinghal	_lovysinghal
lower	_lower
lowercase	_lower _case
lt	_lt
lua	_lua
luckas-bot	_luckas _- _bot
lucpol	_lucpol
luis	_luis
luxembourg	_luxembourg
lv	_lv
lx	_lx
lytov	_lytov
lzh	_lzh
mabifixem	_mabifixem
macau	_macau
macedonia	_macedonia
madagascar	_madagascar
madeira	_madeira
magazine	_magazine
magic	_magic
magnitude	_magnitude
mahdibot	_mahdibot
main	_main
maine	_maine
maintenance	_maintenance
maio	_maio
makecat	_makecat
mala	_mala
malawi	_malawi
malayalam-language	_malayalam _- _language
malaysia	_malaysia
maldives	_maldives
malformed	_malformed
mali	_mali
malta	_malta
managers	_managers
manitoba	_manitoba
manubot	_manubot
manumg	_manumg
map	_map
map+	_map+
map/data	_map/data
map/data/afghanistan	_map/data/afghanistan
map/data/africa	_map/data/africa
