!	!	_!
!!	!!	_!!
!((	!((	_!((
!)	!)	_!)
!-	!-	_!-
!mxt	!MXT	_!mxt
!xt	!XT	_!xt
and	AND	_and
andaman	ANDAMAN	_andaman
andhra	ANDHRA	_andhra
andorra	ANDORRA	_andorra
andre	ANDRE	_andre
angela	ANGELA	_angela
anglicise	ANGLICISE	_anglicise
anna	ANNA	_anna
announcement	ANNOUNCEMENT	_announcement
anoopan	ANOOPAN	_anoopan
anthem	ANTHEM	_anthem
anti-vandalism	ANTI VANDALISM	_anti || _vandalism
antigua	ANTIGUA	_antigua
antwerp	ANTWERP	_antwerp
any	ANY	_any
apalsola	APALSOLA	_apalsola
apple	APPLE	_apple
ar	AR	_ar
arab	ARAB	_arab
arabia	ARABIA	_arabia
archaeological	ARCHAEOLOGICAL	_archaeological
architect	ARCHITECT	_architect
archive	ARCHIVE	_archive
archives	ARCHIVE +(s)	_archive +s
area	AREA	_area
arguments	ARGUMENTS	_arguments
arizona	ARIZONA	_arizona
arkansas	ARKANSAS	_arkansas
armenia	ARMENIA	_armenia
armenian	ARMENIAN	_armenian
arms	ARMS	_arms
army	ARMY	_army
arseny1992	ARSENY1992	_arseny1992
arthurbot	ARTHURBOT	_arthurbot
article	ARTICLE	_article
articles	ARTICLE +(s)	_article +s
artigas	ARTIGAS	_artigas
artwork	ARTWORK	_artwork
arunachal	ARUNACHAL	_arunachal
as	AS	_as
asbox	ASBOX	_asbox
asi	ASI	_asi
asia	ASIA	_asia
assessment	ASSESSMENT	_assessment
ast	AST	_ast
astronaut	ASTRONAUT	_astronaut
athletics	ATHLETICS	_athletics
atom	ATOM	_atom
atp	ATP	_atp
attack	ATTACK	_attack
attribution-sharealike	ATTRIBUTION SHAREALIKE	_attribution || _sharealike
au	AU	_au
audio	AUDIO	_audio
audio-ipa	AUDIO IPA	_audio || _ipa
australia	AUSTRALIA	_australia
austria	AUSTRIA	_austria
austria-hungary	AUSTRIA HUNGARY	_austria || _hungary
austria/doc	AUSTRIA/DOC	_austria/doc
author	AUTHOR	_author
auto	AUTO	_auto
automatic	AUTOMATIC	_automatic
autotaxobox	AUTO TAXOBOX	_auto || _taxobox
av	AV	_av
avicbot	AVICBOT	_avicbot
avicennasis	AVICENNASIS	_avicennasis
avocatobot	AVOCATOBOT	_avocatobot
award	AWARD	_award
awards	AWARD +(s)	_award +s
az	AZ	_az
azad	AZAD	_azad
azerbaijan	AZERBAIJAN	_azerbaijan
azores	AZORES	_azores
baba	BABA	_baba
babel	BABEL	_babel
babel-n	BABEL N	_babel || _n
babu	BABU	_babu
backlog	BACKLOG	_backlog
bad	BAD	_bad
badminton	BADMINTON	_badminton
bahawalpur	BAHAWALPUR	_bahawalpur
bahrain	BAHRAIN	_bahrain
baja	BAJA	_baja
ban	BAN	_ban
bananas	BANANAS	_bananas
bananasargs	BANANASARGS	_bananasargs
bangladesh	BANGLADESH	_bangladesh
banknote	BANKNOTE	_banknote
banner	BANNER	_banner
banner/config	BANNER/CONFIG	_banner/config
bar	BAR	_bar
barbuda	BARBUDA	_barbuda
bare	BARE	_bare
barnstar	BARNSTAR	_barnstar
barnstars	BARNSTAR +(s)	_barnstar +s
based	BASED	_based
basepage	BASEPAGE	_basepage
basepagename	BASEPAGE NAME	_basepage || _name
batavian	BATAVIAN	_batavian
bayern	BAYERN	_bayern
be	BE	_be
beaukarpo	BEAUKARPO	_beaukarpo
beetstra	BEETSTRA	_beetstra
begin	BEGIN	_begin
beilstein	BEILSTEIN	_beilstein
belarus	BELARUS	_belarus
belgium	BELGIUM	_belgium
bengali-language	BENGALI LANGUAGE	_bengali || _language
benin	BENIN	_benin
bermuda	BERMUDA	_bermuda
bernardm	BERNARDM	_bernardm
beta	BETA	_beta
better	BETTER	_better
bg	BG	_bg
bgbot	BGBOT	_bgbot
bharatiya	BHARATIYA	_bharatiya
bho	BHO	_bho
bhutan	BHUTAN	_bhutan
bibleref2	BIBLEREF2	_bibleref2
bibleref2c	BIBLEREF2C	_bibleref2c
bibleref2c-nb	BIBLEREF2C NB	_bibleref2c || _nb
bibleverse	BIBLEVERSE	_bibleverse
big	BIG	_big
biju	BIJU	_biju
biography	BIOGRAPHY	_biography
birth	BIRTH	_birth
bishnu	BISHNU	_bishnu
black	BLACK	_black
blockinblox	BLOCKINBLOX	_blockinblox
bloem	BLOEM	_bloem
blue	BLUE	_blue
bn	BN	_bn
body	BODY	_body
bohemia	BOHEMIA	_bohemia
boilingpt	BOILINGPT	_boilingpt
bolivia	BOLIVIA	_bolivia
bollywood	BOLLYWOOD	_bollywood
bombay	BOMBAY	_bombay
book	BOOK	_book
bookcover	BOOKCOVER	_bookcover
books	BOOK +(s)	_book +s
books-inline	BOOK +(s) INLINE	_book +s || _inline
border	BORDER	_border
border-radius	BORDER RADIUS	_border || _radius
boson	BOSON	_boson
bot	BOT	_bot
both	BOTH	_both
botmultichill	BOTMULTICHILL	_botmultichill
bots	BOT +(s)	_bot +s
bottom	BOTTOM	_bottom
box	BOX	_box
box-shadow	BOX SHADOW	_box || _shadow
box/cold	BOX/COLD	_box/cold
box/colh	BOX/COLH	_box/colh
box/colp	BOX/COLP	_box/colp
box/colpastel	BOX/COLPASTEL	_box/colpastel
box/cols	BOX/COLS	_box/cols
box/colt	BOX/COLT	_box/colt
box/configuration	BOX/CONFIGURATION	_box/configuration
box/oneline	BOX/ONELINE	_box/oneline
box/oneline/date	BOX/ONELINE/DATE	_box/oneline/date
box2	BOX2	_box2
br	BR	_br
brabant	BRABANT	_brabant
bracket	BRACKET	_bracket
brackets	BRACKET +(s)	_bracket +s
braille	BRAILLE	_braille
brazil	BRAZIL	_brazil
break	BREAK	_break
breed	BREED	_breed
bridge	BRIDGE	_bridge
britain	BRITAIN	_britain
britannica	BRITANNICA	_britannica
british	BRITISH	_british
broken	BROKEN	_broken
brunei	BRUNEI	_brunei
brunswick	BRUNSWICK	_brunswick
bs	BS	_bs
bs-2	BS 2	_bs || _2
bs-header	BS HEADER	_bs || _header
bs-map	BS MAP	_bs || _map
bs-overlap	BS OVERLAP	_bs || _overlap
bs-table	BS TABLE	_bs || _table
bs-table1	BS TABLE1	_bs || _table1
bs3	BS3	_bs3
bs5	BS5	_bs5
bs9	BS9	_bs9
bse	BSE	_bse
bsicon	BSICON	_bsicon
bspx	BSPX	_bspx
bsrow	BSROW	_bsrow
bsrow-2	BSROW 2	_bsrow || _2
buffer	BUFFER	_buffer
building	BUILDING	_building
building/color	BUILDING/COLOR	_building/color
building/count	BUILDING/COUNT	_building/count
bulgaria	BULGARIA	_bulgaria
bulleted	BULLETED	_bulleted
burgenland	BURGENLAND	_burgenland
burkina	BURKINA	_burkina
busy	BUSY	_busy
button	BUTTON	_button
bxt	BXT	_bxt
by	BY	_by
byelorussian	BYELORUSSIAN	_byelorussian
byrialbot	BYRIALBOT	_byrialbot
c	C	_c
c++	C++	_c++
ca	CA	_ca
cagliari	CAGLIARI	_cagliari
caiaffa	CAIAFFA	_caiaffa
calcio	CALCIO	_calcio
calicut	CALICUT	_calicut
california	CALIFORNIA	_california
calls	CALLS	_calls
calso	CALSO	_calso
cambodia	CAMBODIA	_cambodia
cameroon	CAMEROON	_cameroon
campaignbox	CAMPAIGNBOX	_campaignbox
campeche	CAMPECHE	_campeche
canada	CANADA	_canada
canal	CANAL	_canal
candidate	CANDIDATE	_candidate
card	CARD	_card
carinthia	CARINTHIA	_carinthia
carkuni	CARKUNI	_carkuni
carolina	CAROLINA	_carolina
carsrac	CARSRAC	_carsrac
carsracbot	CARSRACBOT	_carsracbot
case	CASE	_case
caste	CASTE	_caste
cat	CAT	_cat
catalog	CATALOG	_catalog
category	CATEGORY	_category
category-inline	CATEGORY INLINE	_category || _inline
category-link	CATEGORY LINK	_category || _link
catpreceding	CATPRECEDING	_catpreceding
catsucceeding	CATSUCCEEDING	_catsucceeding
cattrack	CATTRACK	_cattrack
caution	CAUTION	_caution
cave	CAVE	_cave
cc-by-sa-3.0	CC BY SA 3.0	_cc || _by || _sa || _3.0
ccbysasource	CCBYSASOURCE	_ccbysasource
cdd	CDD	_cdd
cdo	CDO	_cdo
cell	CELL	_cell
cell/core	CELL/CORE	_cell/core
cell/display	CELL/DISPLAY	_cell/display
cell/dot-id2character	CELL/DOT ID2CHARACTER	_cell/dot || _id2character
cell/dot-id2filename	CELL/DOT ID2FILENAME	_cell/dot || _id2filename
cell/dot-id2filename-8dot	CELL/DOT ID2FILENAME 8DOT	_cell/dot || _id2filename || _8dot
cell/dot-id2unicode-id	CELL/DOT ID2UNICODE ID	_cell/dot || _id2unicode || _id
cell/english&cell2dot-id	CELL/ENGLISH&CELL2DOT ID	_cell/english&cell2dot || _id
cell/lang2lang-id	CELL/LANG2LANG ID	_cell/lang2lang || _id
cell/main	CELL/MAIN	_cell/main
cell/main2	CELL/MAIN2	_cell/main2
cell/main2singlecell	CELL/MAIN2 SINGLE CELL	_cell/main2 || _single || _cell
cemetery	CEMETERY	_cemetery
census	CENSUS	_census
center	CENTER	_center
centralauth	CENTRALAUTH	_centralauth
ceylon	CEYLON	_ceylon
cguest	CGUEST	_cguest
chad	CHAD	_chad
character	CHARACTER	_character
character/wikidata	CHARACTER/WIKIDATA	_character/wikidata
characters	CHARACTER +(s)	_character +s
chart	CHART	_chart
chart/celsius	CHART/CELSIUS	_chart/celsius
chart/end	CHART/END	_chart/end
chart/fahrenheit	CHART/FAHRENHEIT	_chart/fahrenheit
chart/slice	CHART/SLICE	_chart/slice
chart/start	CHART/START	_chart/start
chaubey	CHAUBEY	_chaubey
chebi	CHEBI	_chebi
check	CHECK	_check
chem	CHEM	_chem
chem/atom	CHEM/ATOM	_chem/atom
chem/link	CHEM/LINK	_chem/link
chembl	CHEMBL	_chembl
chembox	CHEMBOX	_chembox
chiapas	CHIAPAS	_chiapas
chihuahua	CHIHUAHUA	_chihuahua
chile	CHILE	_chile
china	CHINA	_china
chinese/korean	CHINESE/KOREAN	_chinese/korean
chobot	CHOBOT	_chobot
church	CHURCH	_church
cia	CIA	_cia
circa	CIRCA	_circa
citation	CITATION	_citation
citation/core	CITATION/CORE	_citation/core
citation/cs1	CITATION/CS1	_citation/cs1
citation/cs1/coins	CITATION/CS1/COINS	_citation/cs1/coins
citation/cs1/configuration	CITATION/CS1/CONFIGURATION	_citation/cs1/configuration
citation/cs1/date	CITATION/CS1/DATE	_citation/cs1/date
citation/cs1/identifiers	CITATION/CS1/IDENTIFIERS	_citation/cs1/identifiers
citation/cs1/suggestions	CITATION/CS1/SUGGESTIONS	_citation/cs1/suggestions
citation/cs1/utilities	CITATION/CS1/UTILITIES	_citation/cs1/utilities
citation/cs1/whitelist	CITATION/CS1/WHITELIST	_citation/cs1/whitelist
citation/identifier	CITATION/IDENTIFIER	_citation/identifier
citation/make	CITATION/MAKE	_citation/make
citation/patent	CITATION/PATENT	_citation/patent
citations	CITATION +(s)	_citation +s
cite	CITE	_cite
city	CITY	_city
civil	CIVIL	_civil
civilian	CIVILIAN	_civilian
clade	CLADE	_clade
clarify	CLARIFY	_clarify
class	CLASS	_class
class/colour	CLASS/COLOUR	_class/colour
class/column	CLASS/COLUMN	_class/column
cleanup	CLEANUP	_cleanup
clear	CLEAR	_clear
click	CLICK	_click
clickable	CLICKABLE	_clickable
climate	CLIMATE	_climate
club	CLUB	_club
cmain	CMAIN	_cmain
cmbox	CMBOX	_cmbox
cnone	CNONE	_cnone
coahuila	COAHUILA	_coahuila
coast	COAST	_coast
cocu	COCU	_cocu
cocubot	COCUBOT	_cocubot
code	CODE	_code
coins	COINS	_coins
col	COL	_col
col-4	COL 4	_col || _4
col-begin	COL BEGIN	_col || _begin
col-break	COL BREAK	_col || _break
col-end	COL END	_col || _end
colima	COLIMA	_colima
collapse	COLLAPSE	_collapse
collapsetop	COLLAPSETOP	_collapsetop
collapsible	COLLAPSIBLE	_collapsible
colombia	COLOMBIA	_colombia
color	COLOR	_color
colorado	COLORADO	_colorado
colort/colorshort	COLORT/COLORSHORT	_colort/colorshort
colour	COLOUR	_colour
columbia	COLUMBIA	_columbia
column	COLUMN	_column
column-count	COLUMN COUNT	_column || _count
columns	COLUMN +(s)	_column +s
columns-list	COLUMN +(s) LIST	_column +s || _list
comma	COMMA	_comma
command	COMMAND	_command
commission	COMMISSION	_commission
common.css	COMMON.CSS	_common.css
commons	COMMONS	_commons
commons-inline	COMMONS INLINE	_commons || _inline
commonscat	COMMONSCAT	_commonscat
commonwealth	COMMONWEALTH	_commonwealth
communist	COMMUNIST	_communist
competition	COMPETITION	_competition
competition/doc	COMPETITION/DOC	_competition/doc
components	COMPONENTS	_components
computer	COMPUTER	_computer
conference	CONFERENCE	_conference
conflict	CONFLICT	_conflict
congress	CONGRESS	_congress
congress/meta/color	CONGRESS/META/COLOR	_congress/meta/color
connacht	CONNACHT	_connacht
connected	CONNECTED	_connected
connecticut	CONNECTICUT	_connecticut
conservation	CONSERVATION	_conservation
constituency	CONSTITUENCY	_constituency
containing	CONTAINING	_containing
contains	CONTAINS	_contains
content	CONTENT	_content
contest	CONTEST	_contest
continent	CONTINENT	_continent
contrast	CONTRAST	_contrast
contrast/colors	CONTRAST/COLORS	_contrast/colors
contrib	CONTRIB	_contrib
contributor	CONTRIBUTOR	_contributor
conversion	CONVERSION	_conversion
convert	CONVERT	_convert
convert/data	CONVERT/DATA	_convert/data
convert/documentation	CONVERT/DOCUMENTATION	_convert/documentation
convert/extra	CONVERT/EXTRA	_convert/extra
convert/list	CONVERT/LIST	_convert/list
convert/numdisp/frac	CONVERT/NUMDISP/FRAC	_convert/numdisp/frac
convert/numdisp/frac0	CONVERT/NUMDISP/FRAC0	_convert/numdisp/frac0
convert/numdisp/frac1	CONVERT/NUMDISP/FRAC1	_convert/numdisp/frac1
convert/text	CONVERT/TEXT	_convert/text
convert/wikidata	CONVERT/WIKIDATA	_convert/wikidata
convert/wikidata/data	CONVERT/WIKIDATA/DATA	_convert/wikidata/data
convertabbrev	CONVERTABBREV	_convertabbrev
convertabbrev/iso	CONVERTABBREV/ISO	_convertabbrev/iso
convinfobox	CONVINFOBOX	_convinfobox
convinfobox/pri2	CONVINFOBOX/PRI2	_convinfobox/pri2
convinfobox/sec2	CONVINFOBOX/SEC2	_convinfobox/sec2
cookbook	COOKBOOK	_cookbook
coor	COOR	_coor
coord	COORD	_coord
coord-doc-dim	COORD DOC DIM	_coord || _doc || _dim
coord/dec2dms	COORD/DEC2DMS	_coord/dec2dms
coord/dec2dms/dm	COORD/DEC2DMS/DM	_coord/dec2dms/dm
coord/display/title	COORD/DISPLAY/TITLE	_coord/display/title
coord/dms2dec	COORD/DMS2DEC	_coord/dms2dec
coord/input/d	COORD/INPUT/D	_coord/input/d
coord/input/error	COORD/INPUT/ERROR	_coord/input/error
coord/prec	COORD/PREC	_coord/prec
coord/sub	COORD/SUB	_coord/sub
coordinate	COORDINATE	_coordinate
coordinates	COORDINATE +(s)	_coordinate +s
coordination	COORDINATION	_coordination
copy	COPY	_copy
copyright	COPY RIGHT	_copy || _right
correct	CORRECT	_correct
count	COUNT	_count
country	COUNTRY	_country
country/autocat	COUNTRY/AUTOCAT	_country/autocat
country/imagetable	COUNTRY/IMAGETABLE	_country/imagetable
countryabbr	COUNTRY ABBR	_country || _abbr
countryabbr2	COUNTRYABBR2	_countryabbr2
court	COURT	_court
covers	COVERS	_covers
cr-gsw-jt	CR GSW JT	_cr || _gsw || _jt
create	CREATE	_create
creative	CREATIVE	_creative
crecurring	CRECURRING	_crecurring
cref2	CREF2	_cref2
cricket	CRICKET	_cricket
cricketer	CRICKETER	_cricketer
cricketer/career	CRICKETER/CAREER	_cricketer/career
cricketer/national	CRICKETER/NATIONAL	_cricketer/national
croatia	CROATIA	_croatia
crop	CROP	_crop
cross	CROSS	_cross
cs	CS	_cs
cs1	CS1	_cs1
cs2	CS2	_cs2
csb	CSB	_csb
css	CSS	_css
css3	CSS3	_css3
cuaxdon	CUAXDON	_cuaxdon
culture	CULTURE	_culture
currency	CURRENCY	_currency
current	CURRENT	_current
cvt	CVT	_cvt
cycling	CYCLING	_cycling
cyclist	CYCLIST	_cyclist
cyclones	CYCLONES	_cyclones
cyezbot~guwiki	CYEZBOT~GUWIKI	_cyezbot~guwiki
cyprus	CYPRUS	_cyprus
czech	CZECH	_czech
czechoslovakia	CZECHOSLOVAKIA	_czechoslovakia
d.c.	D.C.	_d.c.
da	DA	_da
dadra	DADRA	_dadra
dagger	DAGGER	_dagger
dahomey	DAHOMEY	_dahomey
dakota	DAKOTA	_dakota
dal	DAL	_dal
dal/meta/color	DAL/META/COLOR	_dal/meta/color
dam	DAM	_dam
darev	DAREV	_darev
darkicebot	DARKICEBOT	_darkicebot
dash	DASH	_dash
data	DATA	_data
data/documentation	DATA/DOCUMENTATION	_data/documentation
data/scripts	DATA/SCRIPTS	_data/scripts
date	DATE	_date
dated	DATED	_dated
datei18n	DATE I18N	_date || _i18n
dates	DATE +(s)	_date +s
days	DAYS	_days
db	DB	_db
dcljr	DCLJR	_dcljr
de	DE	_de
de-1	DE 1	_de || _1
de-2	DE 2	_de || _2
dead	DEAD	_dead
deaglebot	DEAGLEBOT	_deaglebot
death	DEATH	_death
debian	DEBIAN	_debian
dec	DEC	_dec
decimals	DECIMALS	_decimals
decreasepositive	DECREASEPOSITIVE	_decreasepositive
defn	DEFN	_defn
degree/bachelor	DEGREE/BACHELOR	_degree/bachelor
degree/bsc	DEGREE/BSC	_degree/bsc
deity	DEITY	_deity
deity/wikidata	DEITY/WIKIDATA	_deity/wikidata
delaware	DELAWARE	_delaware
delete	DELETE	_delete
deletion/dated	DELETION/DATED	_deletion/dated
delink	DELINK	_delink
democratic	DEMOCRATIC	_democratic
demotemplate	DEMOTEMPLATE	_demotemplate
denmark	DENMARK	_denmark
denniss	DENNISS	_denniss
density	DENSITY	_density
deprecated	DEPRECATED	_deprecated
desai	DESAI	_desai
desam	DESAM	_desam
description	DESCRIPTION	_description
designation	DESIGNATION	_designation
designation/colour	DESIGNATION/COLOUR	_designation/colour
designation/divbox	DESIGNATION/DIVBOX	_designation/divbox
designation/text	DESIGNATION/TEXT	_designation/text
destination	DESTINATION	_destination
detect	DETECT	_detect
detect/config	DETECT/CONFIG	_detect/config
detect/data	DETECT/DATA	_detect/data
devices	DEVICES	_devices
dharamsinh	DHARAMSINH	_dharamsinh
digambara	DIGAMBARA	_digambara
diligence	DILIGENCE	_diligence
dim	DIM	_dim
dim/core	DIM/CORE	_dim/core
diplomacy	DIPLOMACY	_diplomacy
diq	DIQ	_diq
dir	DIR	_dir
direction	DIRECTION	_direction
disambig	DISAMBIG	_disambig
discharge	DISCHARGE	_discharge
disclaimer	DISCLAIMER	_disclaimer
discussion/dated	DISCUSSION/DATED	_discussion/dated
diseasesdb2	DISEASESDB2	_diseasesdb2
display	DISPLAY	_display
dispute	DISPUTE	_dispute
distinguish	DISTINGUISH	_distinguish
district	DISTRICT	_district
div	DIV	_div
divbox	DIVBOX	_divbox
djsasso	DJSASSO	_djsasso
dmitri	DMITRI	_dmitri
dmoz	DMOZ	_dmoz
dmy	DMY	_dmy
doc	DOC	_doc
documentation	DOCUMENTATION	_documentation
documentation/config	DOCUMENTATION/CONFIG	_documentation/config
documentation/core	DOCUMENTATION/CORE	_documentation/core
documentation/core2	DOCUMENTATION/CORE2	_documentation/core2
documentation/docname	DOCUMENTATION/DOCNAME	_documentation/docname
documentation/end	DOCUMENTATION/END	_documentation/end
documentation/id2	DOCUMENTATION/ID2	_documentation/id2
documentation/preload	DOCUMENTATION/PRELOAD	_documentation/preload
documentation/start	DOCUMENTATION/START	_documentation/start
documentation/template	DOCUMENTATION/TEMPLATE	_documentation/template
documentation/title	DOCUMENTATION/TITLE	_documentation/title
dog	DOG	_dog
doi	DOI	_doi
domain	DOMAIN	_domain
don't	DON'T	_don't
draft:જ્યૉર્જ	DRAFT:જ્યૉર્જ	_draft:જ્યૉર્જ
dragonbot	DRAGONBOT	_dragonbot
dravida	DRAVIDA	_dravida
draw	DRAW	_draw
drenthe	DRENTHE	_drenthe
drink	DRINK	_drink
dropped	DROPPED	_dropped
dsb	DSB	_dsb
dts	DTS	_dts
dubious	DUBIOUS	_dubious
dudík	DUDÍK	_dudík
dummytab	DUMMYTAB	_dummytab
duplicate	DUPLICATE	_duplicate
durango	DURANGO	_durango
duration	DURATION	_duration
durazno	DURAZNO	_durazno
dutch	DUTCH	_dutch
east	EAST	_east
eb1911	EB1911	_eb1911
ecuador	ECUADOR	_ecuador
ed	ED	_ed
edit	EDIT	_edit
editatwikidata	EDITATWIKIDATA	_editatwikidata
editnotice	EDIT NOTICE	_edit || _notice
editor's	EDITOR'S	_editor's
edits	EDIT +(s)	_edit +s
educa33e	EDUCA33E	_educa33e
edward	EDWARD	_edward
effective	EFFECTIVE	_effective
effeietsanders	EFFEIETSANDERS	_effeietsanders
efn	EFN	_efn
efn-ua	EFN UA	_efn || _ua
egypt	EGYPT	_egypt
either	EITHER	_either
eivindgh	EIVINDGH	_eivindgh
election	ELECTION	_election
election/row	ELECTION/ROW	_election/row
election/shortname	ELECTION/SHORTNAME	_election/shortname
electors	ELECTORS	_electors
elements	ELEMENTS	_elements
eliminated	ELIMINATED	_eliminated
ell2	ELL2	_ell2
emacs	EMACS	_emacs
emausbot	EMAUSBOT	_emausbot
embassy	EMBASSY	_embassy
emergency-bot-shutoff	EMERGENCY BOT SHUTOFF	_emergency || _bot || _shutoff
emijrp/list	EMIJRP/LIST	_emijrp/list
empire	EMPIRE	_empire
empty	EMPTY	_empty
emptyor	EMPTYOR	_emptyor
en	EN	_en
en-2	EN 2	_en || _2
en-3	EN 3	_en || _3
en-4	EN 4	_en || _4
en-gb	EN GB	_en || _gb
en-in	EN IN	_en || _in
en-n	EN N	_en || _n
en-us-4	EN US 4	_en || _us || _4
encode	ENCODE	_encode
encyclopaedia	ENCYCLOPAEDIA	_encyclopaedia
encyclopedia	ENCYCLOPEDIA	_encyclopedia
encyclopædia	ENCYCLOPÆDIA	_encyclopædia
end	END	_end
endflowlist	ENDFLOWLIST	_endflowlist
endswith	ENDSWITH	_endswith
eng	ENG	_eng
engels	ENGELS	_engels
english	ENGLISH	_english
ensure	ENSURE	_ensure
entity	ENTITY	_entity
entries	ENTRIES	_entries
entry	ENTRY	_entry
enum	ENUM	_enum
eo	EO	_eo
episode	EPISODE	_episode
eritrea	ERITREA	_eritrea
erkan	ERKAN	_erkan
error	ERROR	_error
error-small	ERROR SMALL	_error || _small
errors	ERROR +(s)	_error +s
errors:	ERRORS:	_errors:
es	ES	_es
es-1	ES 1	_es || _1
escarbot	ESCARBOT	_escarbot
estimation	ESTIMATION	_estimation
estonian	ESTONIAN	_estonian
ethics	ETHICS	_ethics
ethiopia	ETHIOPIA	_ethiopia
ethiopian	ETHIOPIAN	_ethiopian
ethiopic	ETHIOPIC	_ethiopic
ethnic	ETHNIC	_ethnic
ethnologue16	ETHNOLOGUE16	_ethnologue16
ethnologue19	ETHNOLOGUE19	_ethnologue19
euindex	EUINDEX	_euindex
eustatius	EUSTATIUS	_eustatius
event	EVENT	_event
example	EXAMPLE	_example
exchange	EXCHANGE	_exchange
expand	EXPAND	_expand
expiry	EXPIRY	_expiry
explanation	EXPLANATION	_explanation
external	EXTERNAL	_external
extinction	EXTINCTION	_extinction
extract	EXTRACT	_extract
extract/in	EXTRACT/IN	_extract/in
f1	F1	_f1
fa	FA	_fa
facebook	FACEBOOK	_facebook
factbook	FACTBOOK	_factbook
fadesga	FADESGA	_fadesga
failed	FAILED	_failed
failure	FAILURE	_failure
fair	FAIR	_fair
fajrbot	FAJRBOT	_fajrbot
fake	FAKE	_fake
falkland	FALKLAND	_falkland
family	FAMILY	_family
faroe	FAROE	_faroe
faso	FASO	_faso
fb	FB	_fb
fb-big	FB BIG	_fb || _big
federal	FEDERAL	_federal
federated	FEDERATED	_federated
ffd	FFD	_ffd
fi	FI	_fi
figures	FIGURES	_figures
figures/rnd	FIGURES/RND	_figures/rnd
file	FILE	_file
files	FILE +(s)	_file +s
film	FILM	_film
filter	FILTER	_filter
find0	FIND0	_find0
